ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
600958.SH,20240930,10.99,11.11,10.0,2591757.99,2843555.14,3.4698,1.2152,0.2915,0.2915,155.83333,155.83333,292.39766,292.39766,75.0,75.0,56.944,56.944
600958.SH,20240927,9.6,10.1,7.2187,1158332.18,1131832.95,1.5508,1.2152,0.248,0.248,184.0796,184.0796,230.68182,230.68182,66.667,66.667,52.778,52.778
600958.SH,20240926,9.0,9.42,4.0884,1181125.43,1088279.09,1.5813,1.2152,0.219,0.219,159.1133,159.1133,179.05759,179.05759,58.333,58.333,48.611,48.611
600958.SH,20240925,9.2,9.05,0.3326,1205117.48,1106023.79,1.6134,1.2152,0.203,0.203,142.36453,142.36453,166.84492,166.84492,50.0,50.0,45.833,45.833
600958.SH,20240924,8.6,9.02,5.4971,1050161.5,932591.03,1.4059,1.2152,0.1915,0.1915,149.46809,149.46809,145.36082,145.36082,50.0,50.0,43.056,43.056
600958.SH,20240923,8.56,8.55,-0.3497,239810.29,204657.66,0.3211,1.2152,0.1755,0.1755,135.29412,135.29412,124.8731,124.8731,41.667,41.667,40.278,40.278
600958.SH,20240920,8.56,8.58,0.2336,262345.4,223928.99,0.3512,1.2152,0.1795,0.1795,136.55914,136.55914,126.02041,126.02041,50.0,50.0,38.889,38.889
600958.SH,20240919,8.52,8.56,0.7059,300662.52,257172.69,0.4025,1.2152,0.18,0.18,144.02174,144.02174,131.79487,131.79487,41.667,41.667,36.111,36.111
600958.SH,20240918,8.42,8.5,0.8304,229326.71,194252.12,0.307,1.2152,0.1795,0.1795,146.36872,146.36872,127.69231,127.69231,41.667,41.667,36.111,36.111
600958.SH,20240913,8.48,8.43,-0.7067,200441.04,170032.49,0.2683,1.2152,0.179,0.179,141.08108,141.08108,123.38308,123.38308,33.333,33.333,36.111,36.111
