ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
601916.SH,20240930,2.8,2.94,5.7554,4071445.11,1171834.33,1.8898,1.324,0.063,0.063,114.49275,114.49275,145.16129,145.16129,66.667,66.667,61.111,61.111
601916.SH,20240927,2.81,2.78,0.0,1456909.44,405792.08,0.6762,1.324,0.058,0.058,90.27778,90.27778,117.1875,117.1875,66.667,66.667,56.944,56.944
601916.SH,20240926,2.67,2.78,4.1199,1945673.89,528794.73,0.9031,1.324,0.054,0.054,91.30435,91.30435,109.375,109.375,66.667,66.667,51.389,51.389
601916.SH,20240925,2.64,2.67,2.2989,1836126.25,490305.12,0.8523,1.324,0.05,0.05,67.94872,67.94872,77.63158,77.63158,58.333,58.333,44.444,44.444
601916.SH,20240924,2.56,2.61,2.3529,1445110.05,373711.32,0.6708,1.324,0.047,0.047,65.38462,65.38462,70.12987,70.12987,58.333,58.333,38.889,38.889
601916.SH,20240923,2.53,2.55,0.7905,828281.12,210525.2,0.3845,1.324,0.0455,0.0455,57.5,57.5,58.02469,58.02469,50.0,50.0,33.333,33.333
601916.SH,20240920,2.5,2.53,1.2,800265.11,201072.6,0.3714,1.324,0.0445,0.0445,58.97436,58.97436,59.49367,59.49367,41.667,41.667,27.778,27.778
601916.SH,20240919,2.48,2.5,0.8065,685324.89,170479.22,0.3181,1.324,0.045,0.045,61.03896,61.03896,59.49367,59.49367,33.333,33.333,25.0,25.0
601916.SH,20240918,2.48,2.48,0.0,521789.6,128997.3,0.2422,1.324,0.046,0.046,56.41026,56.41026,56.96203,56.96203,25.0,25.0,23.611,23.611
601916.SH,20240913,2.48,2.48,0.0,602005.58,149983.28,0.2794,1.324,0.051,0.051,59.74026,59.74026,60.25641,60.25641,25.0,25.0,23.611,23.611
601916.SH,20240912,2.46,2.48,0.813,842721.83,208438.67,0.3912,1.324,0.0515,0.0515,56.41026,56.41026,55.0,55.0,25.0,25.0,23.611,23.611
601916.SH,20240911,2.51,2.46,-1.992,979666.0,242356.46,0.4547,1.324,0.0515,0.0515,56.41026,56.41026,55.0,55.0,16.667,16.667,22.222,22.222
601916.SH,20240910,2.5,2.51,0.8032,979693.32,244210.52,0.4547,1.324,0.05,0.05,57.69231,57.69231,58.22785,58.22785,25.0,25.0,22.222,22.222
601916.SH,20240909,2.53,2.49,-1.9685,832879.98,208989.27,0.3866,1.324,0.0495,0.0495,56.41026,56.41026,55.0,55.0,25.0,25.0,22.222,22.222
601916.SH,20240906,2.55,2.54,-0.3922,667854.19,170566.18,0.31,1.324,0.0485,0.0485,57.89474,57.89474,56.41026,56.41026,25.0,25.0,22.222,22.222
601916.SH,20240905,2.53,2.55,0.7905,861890.36,219051.67,0.4001,1.324,0.0485,0.0485,61.33333,61.33333,57.69231,57.69231,25.0,25.0,23.611,23.611
601916.SH,20240904,2.54,2.53,-0.3937,777541.14,197456.0,0.3609,1.324,0.048,0.048,57.89474,57.89474,56.41026,56.41026,16.667,16.667,26.389,26.389
601916.SH,20240903,2.57,2.54,-0.7813,1047453.75,266379.95,0.4862,1.324,0.048,0.048,56.57895,56.57895,55.12821,55.12821,16.667,16.667,30.556,30.556
601916.SH,20240902,2.62,2.56,-2.2901,1754572.0,454619.59,0.8144,1.324,0.049,0.049,62.16216,62.16216,60.52632,60.52632,25.0,25.0,36.111,36.111
601916.SH,20240830,2.64,2.62,-0.7576,1434499.75,377451.78,0.6658,1.324,0.0475,0.0475,62.5,62.5,63.0137,63.0137,25.0,25.0,38.889,38.889
601916.SH,20240829,2.71,2.64,-2.583,1203010.1,320392.74,0.5584,1.324,0.0475,0.0475,61.64384,61.64384,64.38356,64.38356,33.333,33.333,41.667,41.667
601916.SH,20240828,2.74,2.71,-1.0949,838061.5,227800.2,0.389,1.324,0.046,0.046,66.66667,66.66667,69.56522,69.56522,41.667,41.667,43.056,43.056
601916.SH,20240827,2.76,2.74,-0.7246,942087.5,258814.91,0.4373,1.324,0.0455,0.0455,78.46154,78.46154,78.78788,78.78788,41.667,41.667,43.056,43.056
601916.SH,20240826,2.75,2.76,0.3636,775356.94,213352.18,0.3599,1.324,0.045,0.045,75.0,75.0,72.85714,72.85714,50.0,50.0,43.056,43.056
601916.SH,20240823,2.74,2.75,0.7326,819395.9,224571.69,0.3803,1.324,0.0465,0.0465,73.91304,73.91304,71.83099,71.83099,41.667,41.667,43.056,43.056
601916.SH,20240822,2.74,2.73,-0.365,824887.9,226168.47,0.3829,1.324,0.0465,0.0465,71.42857,71.42857,67.12329,67.12329,41.667,41.667,44.444,44.444
601916.SH,20240821,2.75,2.74,0.0,1025803.99,281611.52,0.4761,1.324,0.047,0.047,68.05556,68.05556,66.21622,66.21622,41.667,41.667,45.833,45.833
601916.SH,20240820,2.78,2.74,-1.4388,1614877.17,446140.05,0.7496,1.324,0.047,0.047,65.75342,65.75342,64.0,64.0,41.667,41.667,47.222,47.222
601916.SH,20240819,2.79,2.78,-1.4184,2596332.57,714625.07,1.2051,1.324,0.046,0.046,68.57143,68.57143,69.01408,69.01408,41.667,41.667,47.222,47.222
601916.SH,20240816,2.79,2.82,1.0753,1125208.9,316161.39,0.5223,1.324,0.043,0.043,85.0,85.0,91.37931,91.37931,50.0,50.0,47.222,47.222
601916.SH,20240815,2.8,2.79,-0.7117,1242560.53,346438.41,0.5767,1.324,0.0425,0.0425,76.19048,76.19048,88.13559,88.13559,50.0,50.0,44.444,44.444
601916.SH,20240814,2.78,2.81,1.0791,729167.93,204232.81,0.3384,1.324,0.0425,0.0425,80.32787,80.32787,96.42857,96.42857,50.0,50.0,43.056,43.056
601916.SH,20240813,2.75,2.78,0.7246,658351.09,182429.18,0.3056,1.324,0.043,0.043,79.36508,79.36508,98.24561,98.24561,50.0,50.0,40.278,40.278
601916.SH,20240812,2.78,2.76,-0.361,415070.64,114514.93,0.1927,1.324,0.0435,0.0435,71.21212,71.21212,94.82759,94.82759,41.667,41.667,38.889,38.889
601916.SH,20240809,2.76,2.77,0.3623,626667.52,173915.68,0.2909,1.324,0.044,0.044,72.46377,72.46377,95.08197,95.08197,41.667,41.667,38.889,38.889
601916.SH,20240808,2.76,2.76,-0.361,482502.73,132870.51,0.224,1.324,0.044,0.044,71.01449,71.01449,90.32258,90.32258,33.333,33.333,40.278,40.278
601916.SH,20240807,2.75,2.77,0.7273,595361.44,164666.81,0.2763,1.324,0.045,0.045,68.05556,68.05556,92.06349,92.06349,41.667,41.667,41.667,41.667
601916.SH,20240806,2.79,2.75,-1.0791,1021348.09,281618.51,0.4741,1.324,0.0445,0.0445,74.64789,74.64789,96.8254,96.8254,33.333,33.333,41.667,41.667
601916.SH,20240805,2.81,2.78,-1.0676,953964.68,267116.83,0.4428,1.324,0.044,0.044,84.84848,84.84848,106.77966,106.77966,41.667,41.667,44.444,44.444
601916.SH,20240802,2.83,2.81,-1.0563,626664.82,176610.3,0.2909,1.324,0.044,0.044,89.23077,89.23077,115.78947,115.78947,41.667,41.667,44.444,44.444
601916.SH,20240801,2.81,2.84,0.7092,963780.5,272747.84,0.4473,1.324,0.047,0.047,100.0,100.0,132.72727,132.72727,50.0,50.0,44.444,44.444
601916.SH,20240731,2.82,2.82,0.3559,934211.36,263177.29,0.4336,1.324,0.046,0.046,103.1746,103.1746,101.44928,141.48947,41.667,41.667,44.444,44.444
601916.SH,20240730,2.82,2.81,-0.3546,812479.49,228503.55,0.3771,1.324,0.0475,0.0475,108.06452,107.88876,105.88235,147.51944,41.667,41.667,45.833,45.833
601916.SH,20240729,2.8,2.82,1.0753,917466.15,258465.92,0.4258,1.324,0.0495,0.0495,104.6875,104.79701,102.85714,142.55135,50.0,50.0,45.833,45.833
601916.SH,20240726,2.82,2.79,-0.7117,778643.7,217796.51,0.3614,1.324,0.049,0.049,103.1746,103.19159,101.44928,141.14142,41.667,41.667,44.444,44.444
601916.SH,20240725,2.83,2.81,-0.3546,749289.77,211114.43,0.3478,1.324,0.0495,0.0495,103.1746,103.56609,101.44928,141.48954,41.667,41.667,43.056,43.056
601916.SH,20240724,2.85,2.82,-1.0526,921790.45,261086.35,0.4279,1.324,0.0515,0.0515,110.0,110.28569,101.47059,142.3396,50.0,50.0,43.056,43.056
601916.SH,20240723,2.82,2.85,0.7067,1000364.57,285459.82,0.4643,1.324,0.057,0.0515,111.86441,112.40302,102.98507,145.5312,50.0,50.0,41.667,41.667
601916.SH,20240722,2.86,2.83,-1.3937,1026317.7,290272.85,0.4764,1.324,0.0565,0.05089,96.875,97.54371,92.95775,129.88848,41.667,41.667,41.667,41.667
601916.SH,20240719,2.85,2.87,0.7018,1000379.64,285352.05,0.4643,1.324,0.0555,0.04974,108.47458,109.21856,106.15385,152.14482,41.667,41.667,43.056,43.056
601916.SH,20240718,2.86,2.85,-0.3497,834270.06,237766.71,0.3872,1.324,0.055,0.04916,98.4127,99.47974,100.0,141.92397,33.333,33.333,43.056,44.444
601916.SH,20240717,2.86,2.86,0.3509,936204.57,267127.65,0.4345,1.324,0.055,0.04905,93.84615,95.202,98.55072,139.68489,41.667,41.667,45.833,48.611
601916.SH,20240716,2.86,2.85,0.0,948880.78,270016.44,0.4404,1.324,0.054,0.04799,90.90909,92.49215,92.95775,131.28901,41.667,41.667,47.222,51.389
601916.SH,20240715,2.84,2.85,0.7067,921922.05,262393.39,0.4279,1.324,0.0535,0.04738,96.8254,98.57873,98.52941,140.76468,50.0,50.0,48.611,54.167
601916.SH,20240712,2.8,2.83,1.0714,766429.2,216725.14,0.3557,1.324,0.0545,0.04821,95.2381,97.02717,94.2029,134.31157,50.0,50.0,48.611,55.556
601916.SH,20240711,2.83,2.8,-0.3559,684282.39,192273.99,0.3176,1.324,0.0545,0.04809,81.15942,82.76745,83.78378,117.51935,41.667,50.0,48.611,56.944
601916.SH,20240710,2.81,2.81,0.0,676776.4,190673.09,0.3141,1.324,0.055,0.04842,85.07463,86.85712,82.43243,115.76331,50.0,58.333,50.0,58.333
601916.SH,20240709,2.78,2.81,1.444,825671.97,230575.84,0.3832,1.324,0.056,0.04928,78.57143,80.29861,76.62338,106.86994,50.0,58.333,50.0,58.333
601916.SH,20240708,2.79,2.77,-0.3597,732376.48,203590.97,0.3399,1.324,0.055,0.04817,78.26087,79.81278,74.02597,103.26616,50.0,58.333,50.0,58.333
601916.SH,20240705,2.83,2.78,-1.4184,1036683.32,290942.82,0.4812,1.324,0.0545,0.04758,78.57143,80.21525,72.1519,100.04158,50.0,58.333,48.611,56.944
601916.SH,20240704,2.82,2.82,-0.3534,843976.8,238403.96,0.3917,1.324,0.0515,0.0445,76.81159,78.65063,68.35443,95.42121,50.0,58.333,45.833,54.167
601916.SH,20240703,2.86,2.83,-0.7018,939505.1,265998.35,0.4361,1.324,0.053,0.04583,73.23944,74.95218,67.5,94.02654,50.0,58.333,41.667,50.0
601916.SH,20240702,2.79,2.85,1.7857,1240955.52,352434.01,0.576,1.324,0.052,0.04472,79.10448,81.14354,70.12987,98.80323,50.0,58.333,38.889,45.833
601916.SH,20240701,2.76,2.8,1.4493,907038.68,252140.34,0.421,1.324,0.0505,0.0431,73.52941,74.94225,65.38462,91.90854,50.0,58.333,34.722,40.278
601916.SH,20240628,2.74,2.76,1.0989,981371.25,270511.16,0.4555,1.324,0.05,0.04249,64.78873,65.88991,58.02469,81.25225,41.667,50.0,30.556,34.722
601916.SH,20240627,2.69,2.73,1.487,1191927.63,325839.55,0.5532,1.324,0.0505,0.04282,67.14286,68.11356,58.02469,80.95818,33.333,41.667,27.778,30.556
601916.SH,20240626,2.66,2.69,1.1278,958471.88,257123.29,0.4449,1.324,0.0495,0.04165,59.15493,59.57753,51.21951,71.59639,25.0,33.333,26.389,27.778
601916.SH,20240625,2.64118,2.66004,1.0753,1041189.07,293325.42,0.4833,1.2489,0.0435,0.04104,54.79452,54.79425,66.17647,66.12143,33.333,33.333,26.389,26.389
601916.SH,20240624,2.65082,2.63196,-0.7117,1201332.37,335793.74,0.5576,1.249,0.043,0.04056,53.42466,53.42466,62.31884,62.31884,25.0,25.0,25.0,25.0
601916.SH,20240621,2.64139,2.65082,0.7168,963152.61,270212.77,0.4471,1.249,0.043,0.04056,60.86957,60.86957,70.76923,70.76923,25.0,25.0,25.0,25.0
601916.SH,20240620,2.66969,2.63196,-1.0638,944248.94,264901.74,0.4383,1.249,0.0435,0.04104,55.55556,55.55556,64.70588,64.70588,25.0,25.0,23.611,23.611
