ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
300014.SZ,20240930,44.41,48.78,20.0,1017537.0,4702360.57,5.4664,18.117,1.928,1.928,199.16493,199.16493,213.28021,213.28021,50.0,50.0,33.333,33.333
300014.SZ,20240927,35.6,40.65,16.3423,792224.11,3087321.42,4.256,18.117,1.583,1.583,171.31891,171.31891,151.50376,151.50376,41.667,41.667,30.556,30.556
300014.SZ,20240926,33.28,34.94,4.5795,322806.16,1096557.23,1.7342,18.117,1.2755,1.2755,123.13285,123.13285,103.73444,103.73444,33.333,33.333,29.167,29.167
300014.SZ,20240925,34.4,33.41,-1.1538,344683.44,1177679.27,1.8517,18.117,1.247,1.247,113.97985,113.97985,96.64582,96.64582,25.0,25.0,30.556,30.556
300014.SZ,20240924,31.65,33.8,7.8838,401399.41,1316583.37,2.1564,18.117,1.2765,1.2765,112.58653,112.58653,88.95604,88.95604,25.0,25.0,34.722,34.722
300014.SZ,20240923,31.57,31.33,-1.0111,128795.38,406106.39,0.6919,18.117,1.2375,1.2375,103.02267,103.02267,76.91892,76.91892,25.0,25.0,38.889,38.889
300014.SZ,20240920,32.24,31.65,-2.1336,261688.95,819934.12,1.4058,18.117,1.2815,1.2815,102.33846,102.33846,75.4469,75.4469,33.333,33.333,41.667,41.667
300014.SZ,20240919,32.72,32.34,-0.431,211276.92,687046.92,1.135,18.117,1.2555,1.2555,121.46667,121.46667,90.20939,90.20939,33.333,33.333,43.056,43.056
300014.SZ,20240918,32.81,32.48,-0.9756,137647.46,445810.97,0.7395,18.117,1.2495,1.2495,118.63395,118.63395,87.52108,87.52108,41.667,41.667,44.444,44.444
300014.SZ,20240913,33.6,32.8,-3.0733,157070.87,520173.88,0.8438,18.117,1.31,1.31,121.30493,121.30493,90.97104,90.97104,50.0,50.0,44.444,44.444
300014.SZ,20240912,33.65,33.84,0.5348,270366.04,926327.17,1.4525,18.117,1.3015,1.3015,119.82701,119.82701,91.02857,91.02857,50.0,50.0,43.056,43.056
300014.SZ,20240911,32.4,33.66,4.0173,291584.61,969103.34,1.5665,18.117,1.282,1.282,122.69409,122.69409,95.22714,95.22714,41.667,41.667,41.667,41.667
300014.SZ,20240910,32.51,32.36,-0.5837,102354.2,330081.73,0.5499,18.117,1.2695,1.2695,114.96732,114.96732,92.36994,92.36994,41.667,41.667,40.278,40.278
300014.SZ,20240909,32.53,32.55,-0.9434,115473.77,375295.96,0.6203,18.117,1.331,1.331,120.30323,120.30323,94.87032,94.87032,41.667,41.667,37.5,37.5
300014.SZ,20240906,33.55,32.86,-2.0566,116019.14,384383.47,0.6233,18.117,1.3365,1.3365,115.45396,115.45396,93.98281,93.98281,41.667,41.667,36.111,36.111
300014.SZ,20240905,33.42,33.55,-0.0298,148131.12,499004.21,0.7958,18.117,1.3545,1.3545,115.71885,115.71885,93.81385,93.81385,41.667,41.667,33.333,33.333
300014.SZ,20240904,33.09,33.56,0.6599,224446.75,754980.71,1.2058,18.117,1.362,1.362,116.5201,116.5201,96.83794,96.83794,41.667,41.667,30.556,30.556
300014.SZ,20240903,32.36,33.34,2.3956,177461.63,588583.84,0.9534,18.117,1.392,1.392,107.26392,107.26392,89.9616,89.9616,33.333,33.333,27.778,27.778
300014.SZ,20240902,33.4,32.56,-2.806,160337.24,529098.98,0.8614,18.117,1.365,1.365,91.24449,91.24449,76.80723,76.80723,25.0,25.0,26.389,26.389
300014.SZ,20240830,32.23,33.5,3.5229,290357.4,967580.23,1.5599,18.117,1.356,1.356,104.40069,104.40069,90.85624,90.85624,33.333,33.333,25.0,25.0
300014.SZ,20240829,31.49,32.36,1.793,227912.38,731656.76,1.2244,18.117,1.319,1.319,97.85674,97.85674,87.80743,87.80743,25.0,25.0,23.611,23.611
300014.SZ,20240828,31.82,31.79,-0.563,140691.16,444317.89,0.7558,18.117,1.316,1.316,86.37559,86.37559,82.11055,82.11055,25.0,25.0,25.0,25.0
300014.SZ,20240827,33.0,31.97,-3.6468,178342.2,573577.18,0.9581,18.117,1.36,1.36,85.4954,85.4954,82.6365,82.6365,25.0,25.0,26.389,26.389
300014.SZ,20240826,32.5,33.18,2.2181,260469.46,875919.44,1.3993,18.117,1.338,1.338,92.64627,92.64627,90.625,90.625,25.0,25.0,27.778,27.778
300014.SZ,20240823,33.95,32.46,-5.0877,340633.53,1117645.79,1.83,18.117,1.341,1.341,85.44875,85.44875,80.02023,80.02023,16.667,16.667,29.167,29.167
300014.SZ,20240822,35.23,34.2,-2.8961,223914.2,767765.19,1.2028,18.117,1.365,1.365,103.96324,103.96324,92.96455,92.96455,25.0,25.0,33.333,33.333
300014.SZ,20240821,35.19,35.22,-0.2266,189327.27,661584.76,1.017,18.117,1.3635,1.3635,111.93939,111.93939,95.84947,95.84947,33.333,33.333,34.722,34.722
300014.SZ,20240820,35.88,35.3,-1.8899,164182.8,583246.65,0.882,18.117,1.388,1.388,124.09867,124.09867,110.25044,110.25044,33.333,33.333,34.722,34.722
300014.SZ,20240819,36.8,35.98,-2.4932,216570.22,794773.14,1.1634,18.117,1.4135,1.4135,130.08558,130.08558,112.91094,112.91094,33.333,33.333,34.722,34.722
300014.SZ,20240816,37.78,36.9,-2.3293,112873.36,419818.31,0.6063,18.117,1.3475,1.3475,138.125,138.125,119.87421,119.87421,33.333,33.333,36.111,36.111
300014.SZ,20240815,37.63,37.78,0.106,120565.45,456732.24,0.6477,18.117,1.3365,1.3365,155.69986,155.69986,143.55705,143.55705,41.667,41.667,37.5,37.5
300014.SZ,20240814,37.7,37.74,-0.5009,146106.46,549737.99,0.7849,18.117,1.3975,1.3975,157.96178,157.96178,141.42395,141.42395,33.333,33.333,37.5,37.5
