ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
300759.SZ,20240930,27.5,30.35,19.9605,842362.6,2391477.69,5.8965,2.313,1.2595,1.2595,190.0,190.0,271.17794,271.17794,75.0,75.0,63.889,63.889
300759.SZ,20240927,22.7,25.3,13.5038,654619.39,1587072.48,4.5823,2.313,1.0295,1.0295,174.97156,174.97156,200.72202,200.72202,66.667,66.667,62.5,62.5
300759.SZ,20240926,21.3,22.29,2.3416,354248.42,763943.43,2.4797,2.313,0.9045,0.9045,125.66278,125.66278,142.34637,142.34637,66.667,66.667,61.111,61.111
300759.SZ,20240925,21.5,21.78,1.1142,416510.07,910350.61,2.9155,2.313,0.862,0.862,117.44681,117.44681,144.43142,144.43142,58.333,58.333,59.722,59.722
300759.SZ,20240924,21.32,21.54,0.8899,344282.2,724572.97,2.41,2.313,0.8275,0.8275,106.54206,106.54206,131.73516,131.73516,58.333,58.333,61.111,61.111
300759.SZ,20240923,22.62,21.35,-0.9281,348952.67,763478.36,2.4426,2.313,0.783,0.783,115.73034,115.73034,143.90547,143.90547,58.333,58.333,62.5,62.5
300759.SZ,20240920,21.04,21.55,1.603,191853.44,408694.96,1.343,2.313,0.7485,0.7485,127.25,127.25,124.33735,124.33735,66.667,66.667,63.889,63.889
300759.SZ,20240919,21.08,21.21,2.5133,215063.24,457697.96,1.5054,2.313,0.737,0.737,121.33169,121.33169,121.03365,121.03365,58.333,58.333,63.889,63.889
300759.SZ,20240918,20.7,20.69,-0.481,142390.24,292757.47,0.9967,2.313,0.711,0.711,117.73585,117.73585,107.85463,107.85463,58.333,58.333,65.278,65.278
300759.SZ,20240913,20.67,20.79,0.3863,139658.93,291776.1,0.9776,2.313,0.7085,0.7085,114.96933,114.96933,110.81081,110.81081,66.667,66.667,65.278,65.278
300759.SZ,20240912,20.62,20.71,-0.2889,183640.66,385342.81,1.2855,2.313,0.7255,0.7255,109.50119,109.50119,104.0678,104.0678,66.667,66.667,63.889,63.889
300759.SZ,20240911,20.17,20.77,3.902,208615.33,429443.57,1.4603,2.313,0.71,0.71,97.27582,97.27582,92.12513,92.12513,66.667,66.667,61.111,61.111
300759.SZ,20240910,19.91,19.99,-0.8433,199861.22,395372.74,1.399,2.313,0.69,0.69,95.49654,95.49654,87.87879,87.87879,66.667,66.667,56.944,56.944
300759.SZ,20240909,19.25,20.16,4.0785,243496.16,486843.85,1.7045,2.313,0.6715,0.6715,95.28193,95.28193,97.72727,97.72727,66.667,66.667,52.778,52.778
300759.SZ,20240906,19.81,19.37,-2.1717,84017.28,163593.64,0.5881,2.313,0.6285,0.6285,93.15545,93.15545,96.54776,96.54776,58.333,58.333,50.0,50.0
300759.SZ,20240905,19.73,19.8,0.4057,106769.28,211756.8,0.7474,2.313,0.6395,0.6395,99.27449,99.27449,101.30952,101.30952,58.333,58.333,47.222,47.222
300759.SZ,20240904,19.51,19.72,0.818,124540.23,246196.98,0.8718,2.313,0.6485,0.6485,106.48259,106.48259,105.71762,105.71762,50.0,50.0,44.444,44.444
300759.SZ,20240903,19.5,19.56,0.3077,112061.25,220970.36,0.7844,2.313,0.646,0.646,111.17861,111.17861,112.8266,112.8266,41.667,41.667,41.667,41.667
300759.SZ,20240902,19.97,19.5,-2.4512,126780.04,250114.24,0.8875,2.313,0.645,0.645,108.88078,108.88078,108.10811,108.10811,41.667,41.667,40.278,40.278
300759.SZ,20240830,19.84,19.99,0.756,178372.8,357743.82,1.2486,2.313,0.658,0.658,111.75743,111.75743,111.37725,111.37725,50.0,50.0,37.5,37.5
300759.SZ,20240829,19.63,19.84,0.813,151425.35,300701.4,1.06,2.313,0.676,0.676,115.45226,115.45226,113.64734,113.64734,41.667,41.667,33.333,33.333
300759.SZ,20240828,19.38,19.68,5.4662,229956.68,450464.58,1.6097,2.313,0.674,0.674,116.64642,116.64642,112.36994,112.36994,41.667,41.667,31.944,31.944
300759.SZ,20240827,18.88,18.66,-1.5823,98677.69,183996.48,0.6907,2.313,0.657,0.657,116.95761,116.95761,95.11654,95.11654,33.333,33.333,30.556,30.556
300759.SZ,20240826,18.88,18.96,1.174,103807.7,196888.64,0.7266,2.313,0.678,0.678,132.69962,132.69962,118.2783,118.2783,33.333,33.333,31.944,31.944
300759.SZ,20240823,18.88,18.74,-0.7415,79053.73,148258.13,0.5534,2.313,0.6685,0.6685,132.78061,132.78061,111.49425,111.49425,25.0,25.0,33.333,33.333
300759.SZ,20240822,19.68,18.88,-4.065,184278.12,352191.79,1.2899,2.313,0.6765,0.6765,136.43411,136.43411,111.82549,111.82549,25.0,25.0,36.111,36.111
300759.SZ,20240821,19.86,19.68,-1.3534,84696.33,167799.27,0.5929,2.313,0.663,0.663,164.78261,164.78261,132.28247,132.28247,33.333,33.333,38.889,38.889
300759.SZ,20240820,20.51,19.95,-2.7304,111006.94,222965.8,0.777,2.313,0.6985,0.6985,171.00149,171.00149,139.5806,139.5806,33.333,33.333,40.278,40.278
300759.SZ,20240819,20.66,20.51,-1.1566,100868.06,207155.72,0.7061,2.313,0.699,0.699,182.37129,182.37129,142.36388,142.36388,41.667,41.667,40.278,40.278
300759.SZ,20240816,20.49,20.75,1.0716,111945.63,230759.88,0.7836,2.313,0.745,0.745,190.49919,190.49919,154.05028,154.05028,41.667,41.667,40.278,40.278
300759.SZ,20240815,20.35,20.53,0.6866,119426.64,244714.33,0.836,2.313,0.7325,0.7325,196.1039,196.1039,174.18879,174.18879,41.667,41.667,40.278,40.278
300759.SZ,20240814,20.82,20.39,-2.4868,108702.49,222187.81,0.7609,2.313,0.725,0.725,198.51974,198.51974,172.86136,172.86136,41.667,41.667,40.278,40.278
300759.SZ,20240813,20.69,20.91,0.674,89164.71,184426.92,0.6241,2.313,0.7385,0.7385,205.35117,205.35117,178.14371,178.14371,41.667,41.667,41.667,41.667
300759.SZ,20240812,20.91,20.77,-0.6695,101327.0,211921.51,0.7093,2.313,0.7315,0.7315,193.44,193.44,171.22093,171.22093,33.333,33.333,41.667,41.667
300759.SZ,20240809,21.48,20.91,-2.0609,138240.52,291398.11,0.9677,2.313,0.737,0.737,203.15457,203.15457,177.16312,177.16312,41.667,41.667,44.444,44.444
300759.SZ,20240808,21.59,21.35,-1.6129,139280.43,300036.53,0.975,2.313,0.721,0.721,201.25,201.25,168.49315,168.49315,41.667,41.667,45.833,45.833
300759.SZ,20240807,22.1,21.7,-2.6032,138820.33,302761.78,0.9717,2.313,0.752,0.752,206.48734,206.48734,176.15708,176.15708,41.667,41.667,48.611,48.611
300759.SZ,20240806,21.99,22.28,1.596,169512.51,375886.58,1.1866,2.313,0.7445,0.7445,209.35484,209.35484,190.462,190.462,50.0,50.0,50.0,50.0
300759.SZ,20240805,22.37,21.93,-0.9932,174876.49,388057.72,1.2241,2.313,0.751,0.751,199.5283,199.5283,174.60993,174.60993,41.667,41.667,48.611,48.611
300759.SZ,20240802,21.98,22.15,0.408,256075.66,577549.48,1.7925,2.313,0.7345,0.7345,214.02337,214.02337,179.53216,179.53216,50.0,50.0,50.0,50.0
300759.SZ,20240801,22.07,22.06,-0.2712,129736.75,285725.11,0.9081,2.313,0.7515,0.7515,180.24316,180.24316,148.75491,152.76442,50.0,50.0,50.0,50.0
300759.SZ,20240731,21.18,22.12,3.9474,242728.28,529512.16,1.6991,2.313,0.774,0.774,190.61033,190.52102,158.59269,162.95325,58.333,58.333,50.0,50.0
300759.SZ,20240730,20.81,21.28,2.8019,210945.96,451371.74,1.4766,2.313,0.7515,0.7515,168.78698,168.78558,142.04398,145.79705,50.0,50.0,48.611,48.611
300759.SZ,20240729,20.6,20.7,0.0,100903.48,208924.2,0.7063,2.313,0.7245,0.7245,150.70225,150.74303,120.57762,123.61329,41.667,41.667,50.0,50.0
300759.SZ,20240726,20.84,20.7,-0.6718,140013.5,289983.03,0.9801,2.313,0.7275,0.7275,151.73853,151.7372,120.14218,123.12054,50.0,50.0,51.389,51.389
300759.SZ,20240725,20.6,20.84,0.9201,162477.05,339569.06,1.1373,2.313,0.7315,0.7315,159.91501,159.88868,124.97013,128.0779,50.0,50.0,52.778,52.778
300759.SZ,20240724,20.89,20.65,-1.8536,209647.64,442169.08,1.4675,2.313,0.7405,0.73049,150.48679,150.47314,117.01878,119.89836,50.0,50.0,52.778,52.778
300759.SZ,20240723,20.98,21.04,-0.7079,234322.93,496246.86,1.6402,2.313,0.711,0.70078,131.93717,132.01292,102.65193,105.1242,50.0,50.0,51.389,51.389
300759.SZ,20240722,20.33,21.19,5.8971,315697.37,661913.06,2.2099,2.313,0.7135,0.70292,134.34211,134.35938,103.87168,106.37645,58.333,58.333,50.0,50.0
300759.SZ,20240719,20.02,20.01,-0.6948,143797.33,288573.89,1.0066,2.313,0.669,0.65812,112.8519,112.91579,80.1,81.86685,50.0,50.0,47.222,47.222
300759.SZ,20240718,19.99,20.15,0.2488,154339.89,309298.02,1.0804,2.313,0.6775,0.66625,107.04898,107.13039,78.25223,79.98525,58.333,58.333,47.222,47.222
300759.SZ,20240717,19.38,20.1,3.3951,196463.53,393115.6,1.3752,2.313,0.6955,0.68385,126.94175,126.89782,94.3662,96.37248,50.0,50.0,44.444,44.444
300759.SZ,20240716,19.23,19.44,1.092,76460.15,147935.42,0.5352,2.313,0.6665,0.65466,120.38369,120.26656,87.5617,89.34657,41.667,41.667,43.056,43.056
300759.SZ,20240715,19.53,19.23,-2.4353,98664.93,191040.21,0.6906,2.313,0.7015,0.68914,114.36782,114.26166,85.28846,86.96957,41.667,41.667,43.056,43.056
300759.SZ,20240712,19.86,19.71,-0.3539,152476.67,303149.27,1.0673,2.313,0.708,0.69526,113.57309,113.48953,89.92016,91.78082,41.667,41.667,43.056,43.056
300759.SZ,20240711,19.19,19.78,5.7754,186024.23,364054.45,1.3022,2.313,0.736,0.72271,117.87383,117.75035,88.36755,90.13052,50.0,50.0,41.667,41.667
300759.SZ,20240710,18.58,18.7,0.0,83395.41,156386.85,0.5838,2.313,0.7005,0.68697,117.85714,117.68809,79.82709,81.30947,41.667,41.667,38.889,38.889
300759.SZ,20240709,18.46,18.7,0.8086,128504.11,235840.27,0.8995,2.313,0.766,0.75155,100.0,99.89436,68.10491,69.24214,41.667,41.667,37.5,37.5
300759.SZ,20240708,18.91,18.55,-1.9556,86710.0,161340.74,0.607,2.313,0.7595,0.74471,100.625,100.54141,72.23673,73.48782,41.667,41.667,36.111,36.111
300759.SZ,20240705,18.0,18.92,4.646,158856.48,294606.78,1.112,2.313,0.762,0.74692,105.54963,105.49967,72.83843,74.13454,41.667,41.667,34.722,34.722
300759.SZ,20240704,18.6,18.08,-3.1083,126361.31,229383.43,0.8845,2.313,0.7115,0.69623,100.10834,99.98591,67.99293,69.1627,33.333,33.333,33.333,33.333
300759.SZ,20240703,18.49,18.66,0.8104,82876.18,153975.03,0.5801,2.313,0.7045,0.68885,107.97267,107.89618,72.54362,73.88001,33.333,33.333,34.722,34.722
300759.SZ,20240702,18.69,18.51,-0.3231,71447.5,132580.88,0.5001,2.313,0.7035,0.68753,99.67427,99.59091,66.84303,68.00852,33.333,33.333,34.722,34.722
300759.SZ,20240701,18.46,18.57,-0.0538,69171.24,127312.0,0.4842,2.313,0.7635,0.74669,97.33759,97.28321,66.31763,67.45427,33.333,33.333,34.722,34.722
300759.SZ,20240628,18.5,18.58,0.7592,115143.16,214138.31,0.806,2.313,0.7725,0.75533,92.10256,92.06993,63.89831,64.9841,33.333,33.333,36.111,36.111
300759.SZ,20240627,19.02,18.44,-3.4555,92057.83,171907.28,0.6444,2.313,0.768,0.75056,91.36179,91.30696,63.08725,64.11572,33.333,33.333,37.5,37.5
300759.SZ,20240626,18.57524,19.09974,2.8237,80983.19,154486.13,0.5669,2.289,0.7525,0.74477,92.62295,92.62312,67.07317,67.06317,41.667,41.667,38.889,38.889
300759.SZ,20240625,18.93975,18.57362,-2.2905,92853.71,176118.9,0.65,2.2888,0.758,0.75013,88.80079,88.80094,65.50256,65.47903,33.333,33.333,38.889,38.889
300759.SZ,20240624,19.30756,19.01067,-2.6356,82979.49,161066.31,0.5809,2.289,0.762,0.75409,91.8429,91.8429,66.9244,66.9244,33.333,33.333,40.278,40.278
300759.SZ,20240621,19.11953,19.52528,1.2834,107188.39,209436.01,0.7503,2.289,0.761,0.7531,93.8553,93.8553,70.43702,70.43702,41.667,41.667,41.667,41.667
300759.SZ,20240620,19.39663,19.27787,-0.9156,144256.99,284607.04,1.0098,2.289,0.7655,0.75756,93.13346,93.13346,66.94079,66.94079,41.667,41.667,41.667,41.667
300759.SZ,20240619,19.68362,19.45601,-1.503,84820.66,167825.25,0.5937,2.289,0.762,0.75409,96.61836,96.61836,70.76796,70.76796,41.667,41.667,41.667,41.667
300759.SZ,20240618,20.04978,19.75289,-2.5866,183146.7,366409.74,1.282,2.289,0.775,0.76696,83.58714,83.58714,89.16173,89.16173,41.667,41.667,40.278,40.278
300759.SZ,20240617,19.68362,20.27739,1.7884,140739.63,284030.46,0.9852,2.289,0.7655,0.75756,98.10298,98.10298,105.40293,105.40293,41.667,41.667,37.5,37.5
300759.SZ,20240614,20.46542,19.92113,-2.988,213997.33,430490.53,1.498,2.289,0.7635,0.75558,105.92525,105.92525,117.41996,117.41996,41.667,41.667,36.111,36.111
300759.SZ,20240613,20.7722,20.5347,-1.1434,187752.07,389954.71,1.3143,2.289,0.763,0.75508,111.93887,111.93887,123.32677,123.32677,41.667,41.667,34.722,34.722
300759.SZ,20240612,19.54507,20.7722,5.6898,330496.9,688411.0,2.3135,2.289,0.795,0.78675,114.258,114.258,125.22433,125.22433,41.667,41.667,31.944,31.944
300759.SZ,20240611,19.1987,19.65393,1.5857,88742.17,174368.61,0.6212,2.289,0.7635,0.75558,102.88462,102.88462,120.52578,120.52578,33.333,33.333,29.167,29.167
300759.SZ,20240607,19.58466,19.34715,-0.7614,105841.17,207561.82,0.7409,2.289,0.8335,0.82485,97.25379,97.25379,116.91843,116.91843,25.0,25.0,27.778,27.778
300759.SZ,20240606,19.70341,19.49559,-0.4548,157668.58,312152.64,1.1037,2.289,0.8595,0.85058,110.30422,110.30422,128.01236,128.01236,33.333,33.333,27.778,27.778
300759.SZ,20240605,19.2086,19.58466,0.9694,189177.72,374458.81,1.3242,2.289,0.911,0.90155,123.59438,123.59438,133.53659,133.53659,33.333,33.333,27.778,27.778
