ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
600028.SH,20240930,6.69,6.96,4.5045,5247325.23,3595929.87,0.5525,4.3719,0.2375,0.2313,106.40569,106.6597,108.01394,117.71293,58.333,66.667,56.944,65.278
600028.SH,20240927,6.79,6.66,-1.3333,2256031.65,1489254.91,0.2375,4.3719,0.231,0.22441,89.61938,89.65414,89.56229,97.65904,58.333,66.667,54.167,62.5
600028.SH,20240926,6.74,6.75,0.4464,1914757.86,1279599.58,0.2016,4.3719,0.2255,0.21872,95.58824,95.80222,91.60839,100.30151,58.333,66.667,51.389,59.722
600028.SH,20240925,6.89,6.72,-0.5917,2114932.97,1435594.87,0.2227,4.3719,0.2345,0.22735,103.83142,104.10647,97.83394,107.22414,58.333,66.667,48.611,56.944
600028.SH,20240924,6.57,6.76,4.321,1581118.2,1050096.89,0.1665,4.3719,0.2255,0.2182,108.53659,108.92738,93.06569,102.16663,58.333,66.667,44.444,52.778
600028.SH,20240923,6.4,6.48,1.5674,855303.03,552285.04,0.0901,4.3719,0.217,0.20955,106.22407,106.50589,83.15412,91.28093,50.0,58.333,40.278,47.222
600028.SH,20240920,6.3,6.38,0.9494,1417694.91,906063.99,0.1493,4.3719,0.216,0.20835,102.5,102.70527,77.93594,85.59934,41.667,50.0,37.5,43.056
600028.SH,20240919,6.39,6.32,-1.0955,1316659.37,824933.19,0.1386,4.3719,0.214,0.20621,100.0,100.05023,77.14286,84.67967,41.667,50.0,37.5,41.667
600028.SH,20240918,6.21,6.39,3.231,1093313.31,694274.25,0.1151,4.3719,0.207,0.19907,111.76471,112.03531,85.38462,94.20451,41.667,50.0,37.5,40.278
600028.SH,20240913,6.21,6.19,0.1618,999003.15,621989.71,0.1052,4.3719,0.201,0.19291,104.5045,104.52489,78.54406,86.66433,33.333,41.667,38.889,40.278
600028.SH,20240912,6.14095,6.18,0.4762,981190.05,618130.42,0.1033,4.2683,0.1995,0.19477,102.66667,102.66667,85.14056,85.14056,33.333,33.333,41.667,41.667
600028.SH,20240911,6.31668,6.15071,-3.0769,1767133.68,1107431.8,0.1861,4.2683,0.1995,0.19477,109.00901,109.00901,90.65041,90.65041,33.333,33.333,44.444,44.444
600028.SH,20240910,6.22881,6.34597,1.8809,1166644.04,754994.0,0.1228,4.2683,0.1865,0.18208,124.36548,124.36548,106.01852,106.01852,41.667,41.667,48.611,48.611
600028.SH,20240909,6.4436,6.22881,-3.3333,1415483.37,909117.61,0.149,4.2683,0.1845,0.18013,107.98122,107.98122,90.67797,90.67797,41.667,41.667,51.389,51.389
600028.SH,20240906,6.39479,6.4436,0.7634,857287.65,569645.56,0.0903,4.2683,0.177,0.17281,119.89796,119.89796,97.2973,97.2973,50.0,50.0,54.167,54.167
600028.SH,20240905,6.46313,6.39479,-0.607,1222282.07,798674.19,0.1287,4.2683,0.1725,0.16841,117.7665,117.7665,94.64286,94.64286,50.0,50.0,56.944,56.944
600028.SH,20240904,6.4436,6.43384,-1.1994,1037614.24,683716.32,0.1093,4.2683,0.169,0.165,120.61856,120.61856,94.19643,94.19643,50.0,50.0,61.111,61.111
600028.SH,20240903,6.78531,6.51194,-4.3042,1758759.14,1183594.56,0.1852,4.2683,0.17,0.16597,110.57692,110.57692,90.17094,90.17094,58.333,58.333,66.667,66.667
600028.SH,20240902,6.59005,6.80483,2.3495,1645611.23,1140862.24,0.1733,4.2683,0.156,0.1523,132.40223,132.40223,108.37438,108.37438,58.333,58.333,70.833,70.833
600028.SH,20240830,6.68768,6.64862,-0.8734,1808301.65,1231805.98,0.1904,4.2683,0.152,0.1484,112.69841,112.69841,96.63462,96.63462,58.333,58.333,73.611,73.611
