ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
601066.SH,20240930,26.8,26.86,9.9918,678536.78,1806352.47,1.7803,1.0871,0.7605,0.7605,171.18056,171.18056,340.19851,365.56881,66.667,66.667,61.111,61.111
601066.SH,20240927,22.95,24.42,10.0,364456.97,846081.65,0.9562,1.0871,0.659,0.659,205.60166,205.60526,279.16667,300.23765,66.667,66.667,61.111,61.111
601066.SH,20240926,20.89,22.2,5.5635,315385.89,681593.22,0.8275,1.0871,0.559,0.559,187.00441,187.08162,216.19718,232.51348,58.333,58.333,59.722,59.722
601066.SH,20240925,21.51,21.03,0.5258,309784.3,662090.29,0.8128,1.0871,0.514,0.514,157.91757,157.99482,190.80189,205.68542,58.333,58.333,59.722,59.722
601066.SH,20240924,19.98,20.92,5.7634,314224.04,643653.47,0.8244,1.0871,0.489,0.489,170.64439,170.76683,166.51481,179.43803,58.333,58.333,59.722,59.722
601066.SH,20240923,19.95,19.78,-0.4529,63296.67,125291.36,0.1661,1.0871,0.4525,0.4525,161.88119,161.90182,146.3964,157.83765,58.333,58.333,61.111,61.111
601066.SH,20240920,19.65,19.87,0.8629,96569.94,190521.36,0.2534,1.0871,0.464,0.457,175.06562,175.09645,148.62385,160.46907,66.667,66.667,62.5,62.5
601066.SH,20240919,19.69,19.7,0.7157,98346.4,194013.31,0.258,1.0871,0.4545,0.44739,176.59574,176.60031,150.81585,163.00264,58.333,58.333,62.5,62.5
601066.SH,20240918,19.27,19.56,0.9809,58713.81,114222.99,0.154,1.0871,0.441,0.43375,182.22222,182.19108,139.63554,150.87562,58.333,58.333,63.889,63.889
601066.SH,20240913,19.44,19.37,0.0,64258.6,125070.21,0.1686,1.0871,0.4315,0.42406,159.32642,159.41983,135.68182,146.67883,58.333,58.333,65.278,65.278
601066.SH,20240912,19.4,19.37,-0.3088,51269.5,99406.89,0.1345,1.0871,0.426,0.41845,161.97917,162.03272,135.74661,146.62259,66.667,66.667,66.667,66.667
