ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
601698.SH,20240930,16.99,17.28,7.3292,649494.0,1103684.0,1.5375,1.0084,0.4225,0.4225,121.14537,121.14537,168.40731,168.40731,58.333,58.333,47.222,47.222
601698.SH,20240927,15.47,16.1,4.8177,274785.47,435395.23,0.6505,1.0084,0.368,0.368,136.31579,136.31579,127.75,127.75,58.333,58.333,43.056,43.056
601698.SH,20240926,14.83,15.36,3.4343,257639.8,389639.66,0.6099,1.0084,0.34,0.34,117.00508,117.00508,107.50605,107.50605,50.0,50.0,38.889,38.889
601698.SH,20240925,15.0,14.85,0.2701,309676.98,466938.26,0.7331,1.0084,0.329,0.329,108.41837,108.41837,100.73529,100.73529,41.667,41.667,36.111,36.111
601698.SH,20240924,14.5,14.81,2.1379,228009.0,333829.34,0.5397,1.0084,0.315,0.315,95.0237,95.0237,83.29621,83.29621,41.667,41.667,36.111,36.111
601698.SH,20240923,14.21,14.5,1.257,122255.0,176620.49,0.2894,1.0084,0.305,0.305,96.40288,96.40288,82.0,82.0,33.333,33.333,37.5,37.5
601698.SH,20240920,14.41,14.32,-0.8997,103881.0,148804.5,0.2459,1.0084,0.308,0.308,84.42438,84.42438,76.45788,76.45788,33.333,33.333,40.278,40.278
601698.SH,20240919,14.24,14.45,2.1924,108740.0,155884.11,0.2574,1.0084,0.3025,0.3025,86.89655,86.89655,79.86726,79.86726,33.333,33.333,43.056,43.056
601698.SH,20240918,14.27,14.14,-0.4225,90307.0,127211.3,0.2138,1.0084,0.292,0.292,77.00651,77.00651,65.66265,65.66265,33.333,33.333,44.444,44.444
601698.SH,20240913,14.28,14.2,-0.4905,65442.0,93385.56,0.1549,1.0084,0.284,0.284,80.64516,80.64516,67.12598,67.12598,41.667,41.667,45.833,45.833
601698.SH,20240912,14.39,14.27,-0.765,74550.88,107339.07,0.1765,1.0084,0.302,0.302,65.41889,65.41889,52.45642,52.45642,50.0,50.0,45.833,45.833
601698.SH,20240911,14.43,14.38,-0.5533,87327.93,125894.79,0.2067,1.0084,0.313,0.313,76.24113,76.24113,62.91601,62.91601,50.0,50.0,43.056,43.056
601698.SH,20240910,14.28,14.46,1.4737,103291.9,147938.73,0.2445,1.0084,0.3155,0.3155,75.29022,75.29022,66.56489,66.56489,50.0,50.0,41.667,41.667
601698.SH,20240909,14.21,14.25,-0.6969,77860.0,111185.42,0.1843,1.0084,0.3115,0.3115,69.88796,69.88796,65.38462,65.38462,41.667,41.667,38.889,38.889
601698.SH,20240906,14.58,14.35,-1.51,102819.0,148600.3,0.2434,1.0084,0.3285,0.3285,72.59552,72.59552,71.42857,71.42857,41.667,41.667,38.889,38.889
601698.SH,20240905,14.4,14.57,1.1806,118256.8,171473.09,0.2799,1.0084,0.3465,0.3465,89.74359,89.74359,80.67754,80.67754,41.667,41.667,37.5,37.5
601698.SH,20240904,14.5,14.4,-1.1668,108761.36,157227.9,0.2575,1.0084,0.3985,0.3985,90.02558,90.02558,92.79393,92.79393,33.333,33.333,36.111,36.111
601698.SH,20240903,14.5,14.57,0.4828,97522.58,142292.41,0.2309,1.0084,0.432,0.432,106.8615,106.8615,113.17136,113.17136,41.667,41.667,34.722,34.722
601698.SH,20240902,15.01,14.5,-3.3333,195291.66,287010.93,0.4623,1.0084,0.4665,0.4665,108.34387,108.34387,114.63104,114.63104,33.333,33.333,31.944,31.944
601698.SH,20240830,14.85,15.0,1.5572,231857.61,347983.63,0.5489,1.0084,0.536,0.536,119.25134,119.25134,127.19892,127.19892,41.667,41.667,30.556,30.556
601698.SH,20240829,14.56,14.77,1.026,120076.0,177000.29,0.2842,1.0084,0.578,0.578,118.98396,118.98396,122.11921,122.11921,33.333,33.333,29.167,29.167
601698.SH,20240828,14.51,14.62,0.4811,90541.78,132370.24,0.2143,1.0084,0.6245,0.6245,120.50938,120.50938,123.34218,123.34218,33.333,33.333,30.556,30.556
601698.SH,20240827,14.86,14.55,-1.8881,142691.0,208154.56,0.3378,1.0084,0.6695,0.6695,114.26735,114.26735,116.77255,116.77255,25.0,25.0,31.944,31.944
601698.SH,20240826,14.86,14.83,-0.2019,131132.25,194648.54,0.3104,1.0084,0.7335,0.7335,121.33333,121.33333,122.96588,122.96588,25.0,25.0,36.111,36.111
601698.SH,20240823,14.86,14.86,-0.5355,157790.26,234799.55,0.3735,1.0084,0.7435,0.7435,127.7027,127.7027,129.25532,129.25532,25.0,25.0,38.889,38.889
601698.SH,20240822,15.09,14.94,-0.994,193100.44,289843.69,0.4571,1.0084,0.7505,0.7505,126.64872,126.64872,126.71053,126.71053,33.333,33.333,43.056,43.056
601698.SH,20240821,15.1,15.09,-0.9192,137397.0,208153.52,0.3252,1.0084,0.747,0.747,132.77545,132.77545,131.43631,131.43631,41.667,41.667,45.833,45.833
601698.SH,20240820,15.29,15.23,-0.3272,145265.0,221473.92,0.3439,1.0084,0.7545,0.7545,133.33333,133.33333,133.24213,133.24213,41.667,41.667,48.611,48.611
601698.SH,20240819,15.26,15.28,0.1967,152085.08,233126.66,0.36,1.0084,0.7645,0.7645,138.0,138.0,138.02228,138.02228,50.0,50.0,51.389,51.389
601698.SH,20240816,15.69,15.25,-2.4312,222854.28,343792.61,0.5275,1.0084,0.769,0.769,132.35704,132.35704,133.15143,133.15143,41.667,41.667,54.167,54.167
601698.SH,20240815,15.46,15.63,0.7088,221857.0,345109.31,0.5252,1.0084,0.7655,0.7655,138.83212,138.83212,143.93064,143.93064,50.0,50.0,59.722,59.722
601698.SH,20240814,15.76,15.52,-1.3977,181599.56,284056.24,0.4299,1.0084,0.757,0.757,148.65672,148.65672,151.53734,151.53734,50.0,50.0,63.889,63.889
