ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
603260.SH,20240930,58.46,60.03,8.2012,99397.06,587076.57,0.8408,1.516,1.636,1.636,205.48628,205.48628,251.25224,251.25224,75.0,75.0,56.944,56.944
603260.SH,20240927,54.0,55.48,4.7385,22759.53,124925.42,0.1925,1.516,1.443,1.443,209.13931,209.13931,208.44212,208.44212,66.667,66.667,51.389,51.389
603260.SH,20240926,51.74,52.97,2.0813,21894.06,114546.72,0.1852,1.516,1.337,1.337,188.92704,188.92704,173.43623,173.43623,58.333,58.333,48.611,48.611
603260.SH,20240925,51.99,51.89,0.4452,26671.31,139565.02,0.2256,1.516,1.3155,1.3155,164.63125,164.63125,146.9521,154.72769,50.0,50.0,47.222,47.222
603260.SH,20240924,49.95,51.66,4.0274,21462.16,109506.34,0.1815,1.516,1.305,1.305,162.95108,162.94922,139.44166,146.71419,50.0,50.0,47.222,47.222
603260.SH,20240923,50.15,49.66,-0.9771,9687.16,48116.27,0.0819,1.516,1.26,1.26,159.39249,159.29473,128.0303,134.40908,41.667,41.667,48.611,48.611
603260.SH,20240920,50.52,50.15,-0.6734,16058.83,80269.3,0.1358,1.516,1.2545,1.2545,171.30942,171.2341,133.40366,140.25351,41.667,41.667,51.389,51.389
603260.SH,20240919,50.25,50.49,0.9598,11958.99,60249.42,0.1012,1.516,1.254,1.254,188.13109,188.10237,144.04412,151.81885,50.0,50.0,54.167,54.167
603260.SH,20240918,49.4,50.01,1.2348,8288.8,41230.64,0.0701,1.516,1.243,1.243,194.78585,194.76836,144.29327,152.28275,50.0,50.0,56.944,56.944
603260.SH,20240913,50.36,49.4,-1.6524,9137.15,45540.33,0.0773,1.516,1.2825,1.2495,179.54545,179.68053,137.2093,144.56697,50.0,50.0,61.111,61.111
603260.SH,20240912,49.73,50.23,1.0054,14036.9,70356.69,0.1187,1.516,1.2585,1.22484,197.46002,197.60023,143.80665,151.82639,58.333,58.333,66.667,66.667
603260.SH,20240911,48.86,49.73,1.8014,13948.0,68896.89,0.118,1.516,1.2875,1.25263,178.31858,178.58725,133.35756,140.57574,58.333,58.333,69.444,69.444
603260.SH,20240910,49.61,48.85,-1.4724,13336.0,65466.95,0.1128,1.516,1.285,1.24921,169.34244,169.6202,137.28814,144.70848,58.333,58.333,72.222,72.222
603260.SH,20240909,49.59,49.58,-0.2214,12664.35,63184.9,0.1071,1.516,1.2905,1.25376,180.93146,181.29544,143.68932,151.61309,66.667,66.667,76.389,76.389
603260.SH,20240906,49.81,49.69,-0.2209,8132.42,40360.52,0.0688,1.516,1.262,1.22484,178.47653,178.74645,136.02941,143.41462,75.0,75.0,79.167,79.167
603260.SH,20240905,49.6,49.8,0.3021,15541.0,77201.53,0.1315,1.516,1.29,1.25193,181.37255,181.72472,138.38757,145.988,83.333,83.333,79.167,79.167
603260.SH,20240904,50.4,49.65,-1.3707,25470.86,127447.04,0.2155,1.516,1.3025,1.26368,190.00908,190.35561,147.08112,155.32147,75.0,75.0,77.778,77.778
603260.SH,20240903,50.67,50.34,-0.9055,20730.26,104949.31,0.1754,1.516,1.2755,1.23601,201.90658,202.36999,149.65251,158.26485,75.0,75.0,77.778,77.778
