ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
603986.SH,20240930,85.35,88.37,9.9129,419207.44,3630381.98,6.3064,5.632,2.6945,2.6945,122.30347,122.30347,186.6548,186.6548,50.0,50.0,38.889,38.889
603986.SH,20240927,76.4,80.4,6.8155,182962.78,1414764.1,2.7524,5.632,2.4065,2.4065,106.11674,106.11674,122.2783,122.2783,50.0,50.0,36.111,36.111
603986.SH,20240926,69.98,75.27,8.3801,288589.52,2092796.27,4.3414,5.632,2.203,2.203,91.70967,91.70967,104.26507,104.26507,41.667,41.667,33.333,33.333
603986.SH,20240925,69.21,69.45,1.5351,216607.55,1521826.41,3.2586,5.632,1.9895,1.9895,77.27896,77.27896,85.11226,85.11226,33.333,33.333,31.944,31.944
603986.SH,20240924,65.81,68.4,5.0207,191554.35,1283880.19,2.8817,5.632,1.9255,1.9255,72.40791,72.40791,78.65014,78.65014,33.333,33.333,33.333,33.333
603986.SH,20240923,65.29,65.13,-0.2451,76215.67,499567.4,1.1466,5.632,1.8365,1.8365,71.65109,71.65109,73.66985,73.66985,25.0,25.0,34.722,34.722
603986.SH,20240920,65.67,65.29,-0.3358,81352.27,529724.5,1.2238,5.632,1.862,1.862,67.64405,67.64405,69.91925,69.91925,33.333,33.333,37.5,37.5
603986.SH,20240919,65.3,65.51,1.1269,106805.73,699201.57,1.6067,5.632,2.054,2.054,68.47678,68.47678,72.19579,72.19579,33.333,33.333,38.889,38.889
603986.SH,20240918,65.35,64.78,-0.7963,86932.96,563239.58,1.3078,5.632,2.031,2.031,69.41341,69.41341,68.12816,68.12816,33.333,33.333,38.889,38.889
603986.SH,20240913,66.8,65.3,-2.2455,103628.66,684544.46,1.5589,5.632,2.011,2.011,70.62367,70.62367,75.24579,75.24579,41.667,41.667,38.889,38.889
603986.SH,20240912,68.0,66.8,-1.2419,71821.67,484822.61,1.0805,5.632,1.9935,1.9935,77.14081,77.14081,77.46967,77.46967,41.667,41.667,37.5,37.5
603986.SH,20240911,67.6,67.64,-0.4269,77409.53,522518.8,1.1645,5.632,2.033,2.033,76.22776,76.22776,73.65391,73.65391,41.667,41.667,36.111,36.111
603986.SH,20240910,67.88,67.93,0.4287,102472.45,689828.96,1.5416,5.632,2.0385,2.0385,72.52115,72.52115,79.81589,79.81589,41.667,41.667,36.111,36.111
603986.SH,20240909,67.37,67.64,-0.3536,61950.1,420636.15,0.932,5.632,2.0175,2.0175,71.07018,71.07018,67.53131,67.53131,33.333,33.333,36.111,36.111
603986.SH,20240906,69.44,67.88,-2.1761,74284.4,508285.97,1.1175,5.632,1.996,1.996,64.63957,64.63957,59.15646,59.15646,33.333,33.333,38.889,38.889
603986.SH,20240905,69.0,69.39,0.799,75728.98,524826.63,1.1392,5.632,2.007,2.007,70.04566,70.04566,65.21617,65.21617,33.333,33.333,40.278,40.278
603986.SH,20240904,69.03,68.84,-1.6852,98247.16,678479.15,1.478,5.632,2.099,2.099,77.44179,77.44179,68.54332,68.54332,33.333,33.333,41.667,41.667
603986.SH,20240903,69.21,70.02,2.1593,95342.08,666840.93,1.4343,5.632,2.1135,2.1135,76.54105,76.54105,70.61202,70.61202,41.667,41.667,44.444,44.444
603986.SH,20240902,72.38,68.54,-5.3053,150409.89,1052578.56,2.2627,5.632,2.1345,2.1345,71.12971,71.12971,63.64103,63.64103,41.667,41.667,47.222,47.222
603986.SH,20240830,70.0,72.38,3.4,170537.94,1228736.75,2.5655,5.632,2.214,2.214,78.73168,78.73168,71.49945,71.49945,50.0,50.0,51.389,51.389
603986.SH,20240829,69.7,70.0,0.0715,107255.9,751710.18,1.6135,5.632,2.253,2.253,65.22588,65.22588,59.36533,59.36533,41.667,41.667,54.167,54.167
603986.SH,20240828,70.23,69.95,-0.3987,76390.58,535259.95,1.1492,5.632,2.2425,2.2425,62.05155,62.05155,56.94513,56.94513,41.667,41.667,59.722,59.722
603986.SH,20240827,71.27,70.23,-1.4731,92169.04,651705.27,1.3866,5.632,2.3905,2.3905,54.33608,54.33608,50.29755,50.29755,50.0,50.0,65.278,65.278
603986.SH,20240826,72.62,71.28,-1.4925,101198.34,724802.51,1.5224,5.632,2.4655,2.4655,53.6212,53.6212,49.98925,49.98925,58.333,58.333,68.056,68.056
603986.SH,20240823,73.0,72.36,-1.7515,111642.97,809998.25,1.6795,5.632,2.506,2.506,65.01892,65.01892,56.23514,56.23514,66.667,66.667,69.444,69.444
603986.SH,20240822,74.38,73.65,-0.4595,147042.66,1081059.65,2.212,5.632,2.5375,2.5375,62.6617,62.6617,51.38231,51.38231,66.667,66.667,69.444,69.444
603986.SH,20240821,78.57,73.99,-6.6137,279296.1,2103120.34,4.2016,5.632,2.561,2.561,61.855,61.855,49.61044,49.61044,75.0,75.0,69.444,69.444
603986.SH,20240820,79.47,79.23,0.3165,82796.87,654795.34,1.2456,5.632,2.4985,2.4985,70.96699,70.96699,56.02585,56.02585,75.0,75.0,68.056,68.056
603986.SH,20240819,78.6,78.98,0.1014,68173.17,540520.91,1.0256,5.632,2.715,2.715,74.52426,74.52426,56.20195,56.20195,66.667,66.667,66.667,66.667
603986.SH,20240816,79.08,78.9,0.1905,84241.92,667914.71,1.2673,5.632,2.798,2.798,73.67077,73.67077,53.00579,53.00579,66.667,66.667,65.278,65.278
603986.SH,20240815,78.2,78.75,0.6647,99145.79,784248.14,1.4915,5.632,2.946,2.946,71.05437,71.05437,54.40777,54.40777,66.667,66.667,62.5,62.5
603986.SH,20240814,79.0,78.23,-0.9245,63144.56,495897.62,0.9499,5.632,3.1235,3.1235,69.25432,69.25432,53.12198,53.12198,66.667,66.667,58.333,58.333
