ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
600089.SH,20240930,14.07,14.64,6.9394,1584934.2,2284123.09,3.1367,56.0527,0.3705,0.3705,161.93353,161.93353,186.91589,186.91589,83.333,83.333,65.278,65.278
600089.SH,20240927,13.24,13.69,4.5038,499910.85,675813.17,0.9894,56.0527,0.331,0.331,139.45783,139.45783,144.08284,144.08284,75.0,75.0,61.111,61.111
600089.SH,20240926,12.73,13.1,2.9874,458402.17,591696.02,0.9072,56.0527,0.309,0.309,115.40616,115.40616,115.93407,115.93407,66.667,66.667,56.944,56.944
600089.SH,20240925,12.58,12.72,2.3331,513050.99,657863.65,1.0154,56.0527,0.314,0.314,109.26966,109.26966,108.19672,108.19672,58.333,58.333,54.167,54.167
600089.SH,20240924,12.01,12.43,3.9298,408304.62,499863.4,0.8081,56.0527,0.294,0.294,95.85635,95.85635,91.42091,91.42091,58.333,58.333,52.778,52.778
600089.SH,20240923,12.0,11.96,-0.6645,160037.39,192066.14,0.3167,56.0527,0.277,0.277,87.77174,87.77174,82.67717,82.67717,50.0,50.0,52.778,52.778
600089.SH,20240920,11.99,12.04,0.417,212734.47,254243.81,0.421,56.0527,0.288,0.288,83.8961,83.8961,80.96447,80.96447,58.333,58.333,52.778,52.778
600089.SH,20240919,11.87,11.99,1.011,200560.1,239239.6,0.3969,56.0527,0.2825,0.2825,82.12435,82.12435,77.44361,77.44361,50.0,50.0,51.389,51.389
600089.SH,20240918,11.8,11.87,0.508,132083.25,156120.68,0.2614,56.0527,0.2795,0.2795,78.38542,78.38542,77.37789,77.37789,50.0,50.0,51.389,51.389
600089.SH,20240913,11.98,11.81,-1.3367,143267.43,170419.76,0.2835,56.0527,0.279,0.279,76.34961,76.34961,77.17949,77.17949,50.0,50.0,51.389,51.389
600089.SH,20240912,11.92,11.97,0.4195,139915.41,168703.0,0.2769,56.0527,0.2725,0.2725,77.54569,77.54569,77.92208,77.92208,58.333,58.333,51.389,51.389
600089.SH,20240911,11.89,11.92,0.2523,168938.11,201459.86,0.3343,56.0527,0.2745,0.2745,77.36842,77.36842,77.74869,77.74869,50.0,50.0,48.611,48.611
600089.SH,20240910,12.09,11.89,-1.6543,258241.41,307196.31,0.5111,56.0527,0.281,0.281,79.15567,79.15567,82.97872,82.97872,50.0,50.0,47.222,47.222
600089.SH,20240909,12.33,12.09,-1.9465,208441.05,253171.59,0.4125,56.0527,0.2715,0.2715,88.20225,88.20225,90.19608,90.19608,50.0,50.0,44.444,44.444
600089.SH,20240906,12.46,12.33,-0.8045,114559.14,141864.41,0.2267,56.0527,0.2615,0.2615,94.08284,94.08284,95.01466,95.01466,50.0,50.0,43.056,43.056
600089.SH,20240905,12.41,12.43,0.1612,138890.29,172653.0,0.2749,56.0527,0.262,0.262,101.22324,101.22324,97.92285,97.92285,50.0,50.0,40.278,40.278
600089.SH,20240904,12.41,12.41,-0.4812,167170.5,208619.83,0.3308,56.0527,0.265,0.265,108.81459,108.81459,105.91716,105.91716,41.667,41.667,36.111,36.111
600089.SH,20240903,12.28,12.47,1.2998,179060.4,222068.02,0.3544,56.0527,0.265,0.265,104.19162,104.19162,102.6393,102.6393,41.667,41.667,33.333,33.333
600089.SH,20240902,12.62,12.31,-2.4564,225903.2,281944.08,0.4471,56.0527,0.268,0.268,92.75766,92.75766,95.81006,95.81006,33.333,33.333,30.556,30.556
600089.SH,20240830,12.36,12.62,2.021,278594.49,351076.22,0.5514,56.0527,0.2615,0.2615,103.64742,103.64742,104.51807,104.51807,41.667,41.667,27.778,27.778
600089.SH,20240829,12.29,12.37,0.4874,178631.4,221769.17,0.3535,56.0527,0.249,0.249,98.15951,98.15951,102.16049,102.16049,33.333,33.333,25.0,25.0
600089.SH,20240828,12.13,12.31,1.0673,189570.99,232507.45,0.3752,56.0527,0.2425,0.2425,87.97654,87.97654,91.74041,91.74041,25.0,25.0,25.0,25.0
600089.SH,20240827,12.55,12.18,-3.1797,294791.91,360564.23,0.5834,56.0527,0.2515,0.2515,77.17391,77.17391,79.03226,79.03226,25.0,25.0,26.389,26.389
600089.SH,20240826,12.5,12.58,1.1254,176295.55,221265.04,0.3489,56.0527,0.2335,0.2335,95.3271,95.3271,95.10703,95.10703,25.0,25.0,27.778,27.778
600089.SH,20240823,12.5,12.44,-0.4003,162015.59,201828.97,0.3206,56.0527,0.24,0.24,96.85535,96.85535,87.61062,87.61062,16.667,16.667,29.167,29.167
600089.SH,20240822,12.76,12.49,-1.9623,290616.1,364351.56,0.5752,56.0527,0.2445,0.2445,109.5679,109.5679,99.13295,99.13295,25.0,25.0,33.333,33.333
