ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
601799.SH,20240930,138.73,147.67,8.5729,27015.48,387049.3,0.9457,1.308,5.51,5.51,163.48395,163.48395,178.22839,178.22839,66.667,66.667,56.944,56.944
601799.SH,20240927,133.0,136.01,2.882,13302.05,179798.71,0.4656,1.308,5.199,5.199,148.99492,148.99492,147.98631,147.98631,58.333,58.333,55.556,55.556
601799.SH,20240926,131.69,132.2,0.4483,22197.73,289585.26,0.777,1.308,5.195,5.195,144.36136,144.36136,138.0047,138.0047,50.0,50.0,55.556,55.556
601799.SH,20240925,134.2,131.61,-1.8422,17251.85,229338.94,0.6039,1.308,5.104,5.104,145.44536,145.44536,138.6857,138.6857,50.0,50.0,56.944,56.944
601799.SH,20240924,131.85,134.08,2.094,23877.33,314819.88,0.8358,1.308,5.0625,5.0625,169.63554,169.63554,165.93224,165.93224,58.333,58.333,58.333,58.333
601799.SH,20240923,130.16,131.33,0.69,14495.0,190444.55,0.5074,1.308,4.8835,4.8835,169.37278,169.37278,161.31479,161.31479,58.333,58.333,58.333,58.333
601799.SH,20240920,130.55,130.43,-1.2642,16275.06,212321.45,0.5697,1.308,4.8,4.8,156.27279,156.27279,149.58274,149.58274,58.333,58.333,58.333,58.333
601799.SH,20240919,126.1,132.1,4.8579,38452.72,498231.18,1.346,1.308,4.841,4.841,150.36974,150.36974,153.74504,153.74504,58.333,58.333,58.333,58.333
601799.SH,20240918,119.52,125.98,6.7627,22559.0,277935.13,0.7897,1.308,4.6295,4.6295,134.97425,134.97425,135.10532,135.10532,58.333,58.333,58.333,58.333
601799.SH,20240913,121.56,118.0,-2.8167,19554.25,231618.24,0.6845,1.308,4.4415,4.4415,116.39821,116.39821,112.93505,112.93505,58.333,58.333,59.722,59.722
601799.SH,20240912,125.48,121.42,-2.6537,12427.22,152657.89,0.435,1.308,4.6955,4.6955,128.48207,128.48207,122.07305,122.07305,58.333,58.333,59.722,59.722
601799.SH,20240911,119.01,124.73,4.4377,22726.69,280027.3,0.7955,1.308,4.565,4.565,149.52873,149.52873,134.99485,134.99485,58.333,58.333,58.333,58.333
601799.SH,20240910,122.76,119.43,-1.8652,23163.59,276278.79,0.8108,1.308,4.31,4.31,137.51385,137.51385,129.73706,129.73706,58.333,58.333,55.556,55.556
601799.SH,20240909,126.12,121.7,-3.6421,24686.95,303592.43,0.8641,1.308,4.178,4.178,156.25,156.25,138.16542,138.16542,58.333,58.333,52.778,52.778
601799.SH,20240906,124.4,126.3,1.5845,21794.0,276908.26,0.7629,1.308,3.962,3.962,172.39696,172.39696,148.16327,148.16327,66.667,66.667,50.0,50.0
601799.SH,20240905,123.55,124.33,1.0238,16101.69,200489.12,0.5636,1.308,4.0265,4.0265,149.24299,149.24299,128.93862,128.93862,58.333,58.333,44.444,44.444
601799.SH,20240904,117.08,123.07,4.2524,18798.21,230010.99,0.658,1.308,3.984,3.984,154.59955,154.59955,131.28149,131.28149,50.0,50.0,40.278,40.278
601799.SH,20240903,115.56,118.05,2.3052,20881.23,243566.32,0.7309,1.308,3.941,3.941,138.94325,138.94325,120.95782,120.95782,41.667,41.667,37.5,37.5
601799.SH,20240902,117.0,115.39,-1.1225,11111.4,128682.55,0.3889,1.308,3.9155,3.9155,132.60712,132.60712,116.46621,116.46621,41.667,41.667,36.111,36.111
601799.SH,20240830,114.1,116.7,1.6905,18605.51,217804.77,0.6513,1.308,3.9365,3.9365,148.24032,148.24032,132.18365,132.18365,41.667,41.667,34.722,34.722
601799.SH,20240829,111.68,114.76,2.2543,10696.28,121618.64,0.3744,1.308,3.8125,3.8125,134.80155,134.80155,119.51273,119.51273,33.333,33.333,34.722,34.722
601799.SH,20240828,113.3,112.23,-1.206,8440.0,95504.78,0.2954,1.308,3.7465,3.7465,124.85701,124.85701,110.96662,110.96662,33.333,33.333,36.111,36.111
601799.SH,20240827,114.34,113.6,-1.0884,6935.0,78951.06,0.2428,1.308,3.8125,3.8125,115.07353,115.07353,102.19711,102.19711,33.333,33.333,37.5,37.5
601799.SH,20240826,115.15,114.85,0.0174,10171.89,116801.65,0.3561,1.308,3.8375,3.8375,113.57638,113.57638,102.34616,102.34616,33.333,33.333,38.889,38.889
601799.SH,20240823,115.54,114.83,-1.23,7061.14,81711.62,0.2472,1.308,3.813,3.813,119.65066,119.65066,103.8111,103.8111,33.333,33.333,40.278,40.278
601799.SH,20240822,116.05,116.26,0.4406,10540.0,123039.38,0.3689,1.308,3.9575,3.9575,123.83287,123.83287,104.22011,104.22011,41.667,41.667,41.667,41.667
601799.SH,20240821,117.8,115.75,-2.3289,12801.64,150662.85,0.4481,1.308,3.993,3.993,128.86961,128.86961,100.15962,100.15962,41.667,41.667,41.667,41.667
