ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
688012.SH,20240930,145.0,164.0,19.7955,196687.75,3043662.18,3.1657,1.004,5.908,5.908,120.1064,120.1064,135.61581,135.61581,50.0,50.0,47.222,47.222
688012.SH,20240927,130.01,136.9,7.4231,75082.75,1005921.92,1.2085,1.004,4.8415,4.8415,88.71678,88.71678,91.50317,91.50317,50.0,50.0,47.222,47.222
688012.SH,20240926,120.88,127.44,5.3484,83139.37,1024082.19,1.3381,1.004,4.425,4.425,75.19471,75.19471,73.64308,73.64308,50.0,50.0,47.222,47.222
688012.SH,20240925,123.01,120.97,-0.1898,87444.68,1083082.6,1.4074,1.004,4.1305,4.1305,68.11594,68.11594,65.88938,65.88938,41.667,41.667,47.222,47.222
688012.SH,20240924,118.9,121.2,3.3248,83136.23,990495.27,1.3381,1.004,4.0785,4.0785,65.38575,65.38575,58.51269,58.51269,50.0,50.0,50.0,50.0
688012.SH,20240923,121.0,117.3,-2.6637,63064.44,743785.73,1.015,1.004,4.5035,4.5035,67.78617,67.78617,54.98615,54.98615,41.667,41.667,51.389,51.389
688012.SH,20240920,124.5,120.51,-3.1581,68182.17,820716.72,1.0974,1.004,4.5085,4.5085,64.24189,64.24189,51.03962,51.03962,50.0,50.0,54.167,54.167
688012.SH,20240919,124.32,124.44,0.2982,43463.92,542128.44,0.6996,1.004,4.3735,4.3735,73.23121,73.23121,58.00168,58.00168,50.0,50.0,54.167,54.167
688012.SH,20240918,125.61,124.07,-1.1237,34133.31,422821.04,0.5494,1.004,4.331,4.331,72.60815,72.60815,55.02069,55.02069,50.0,50.0,52.778,52.778
688012.SH,20240913,129.8,125.48,-3.4918,55056.71,695114.17,0.8861,1.004,4.2915,4.2915,72.91277,72.91277,59.87386,59.87386,58.333,58.333,50.0,50.0
688012.SH,20240912,130.65,130.02,-0.4822,24904.94,324907.12,0.4008,1.004,4.162,4.162,86.82505,86.82505,69.44404,69.44404,58.333,58.333,45.833,45.833
688012.SH,20240911,129.01,130.65,0.6859,33992.34,442107.18,0.5471,1.004,4.196,4.196,90.76033,90.76033,71.42237,71.42237,58.333,58.333,40.278,40.278
688012.SH,20240910,128.0,129.76,1.8125,33036.37,426021.82,0.5317,1.004,4.4715,4.4715,83.03627,83.03627,72.45191,72.45191,50.0,50.0,34.722,34.722
688012.SH,20240909,127.9,127.45,0.0314,27236.22,348305.9,0.4384,1.004,4.465,4.465,79.86508,79.86508,66.70203,66.70203,41.667,41.667,29.167,29.167
688012.SH,20240906,128.84,127.41,-0.9099,20376.72,261603.26,0.328,1.004,4.53,4.53,86.90034,86.90034,67.66389,67.66389,33.333,33.333,26.389,26.389
688012.SH,20240905,126.88,128.58,1.1247,30899.01,395361.74,0.4973,1.004,4.666,4.666,87.33382,87.33382,70.50649,70.50649,33.333,33.333,23.611,23.611
688012.SH,20240904,127.99,127.15,-1.2887,33012.71,423467.24,0.5313,1.004,4.9435,4.9435,100.23471,100.23471,80.73038,80.73038,25.0,25.0,20.833,20.833
