ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
600837.SH,20240905,8.45,8.77,3.787,440944.12,384198.66,0.4567,25.0887,0.208,0.208,144.88889,145.0285,95.053,102.40584,41.667,41.667,37.5,37.5
600837.SH,20240904,8.5,8.45,-0.8216,117193.02,99679.45,0.1214,25.0887,0.1965,0.1965,145.13274,145.0862,96.11307,103.34213,33.333,33.333,37.5,37.5
600837.SH,20240903,8.4,8.52,1.4286,185479.13,157190.51,0.1921,25.0887,0.196,0.19592,142.29075,142.25352,94.69965,101.885,41.667,41.667,37.5,37.5
600837.SH,20240902,8.62,8.4,-2.5522,267920.17,226484.66,0.2775,25.0887,0.198,0.1978,137.82609,137.78038,89.61938,96.46687,33.333,33.333,36.111,36.111
600837.SH,20240830,8.4,8.62,1.8913,366841.8,315815.83,0.38,25.0887,0.202,0.20162,161.72249,161.66611,105.24345,113.2628,41.667,41.667,36.111,37.5
600837.SH,20240829,8.51,8.46,-2.3095,346375.89,296475.91,0.3588,25.0887,0.202,0.20139,157.92079,157.7855,105.51181,113.92087,33.333,33.333,34.722,37.5
600837.SH,20240828,8.63,8.66,0.464,177269.1,153326.33,0.1836,25.0887,0.198,0.1973,153.46535,153.34067,111.11111,120.247,41.667,41.667,34.722,38.889
600837.SH,20240827,8.7,8.62,-1.1468,159405.5,137464.15,0.1651,25.0887,0.2105,0.20956,142.99065,142.95863,102.72374,111.04812,33.333,33.333,33.333,38.889
600837.SH,20240826,8.74,8.72,-0.1145,196329.45,171030.4,0.2034,25.0887,0.207,0.20599,146.94836,146.96994,110.8,119.72975,33.333,33.333,33.333,40.278
600837.SH,20240823,8.57,8.73,1.7483,234348.54,203592.08,0.2427,25.0887,0.2075,0.20642,155.33981,155.37875,110.8,119.75697,33.333,41.667,31.944,40.278
600837.SH,20240822,8.74,8.58,-1.2658,241885.36,209144.41,0.2505,25.0887,0.2075,0.20628,144.13146,144.11765,101.93798,110.20466,33.333,41.667,31.944,40.278
600837.SH,20240821,8.67,8.69,-0.1149,165198.66,143816.23,0.1711,25.0887,0.1995,0.1982,160.71429,160.73777,106.45161,115.23971,33.333,41.667,30.556,38.889
600837.SH,20240820,8.76,8.7,-0.4577,213857.5,185950.19,0.2215,25.0887,0.2,0.19862,174.09326,174.04506,117.21311,126.58015,33.333,41.667,29.167,37.5
600837.SH,20240819,8.69,8.74,0.2294,135749.01,118505.37,0.1406,25.0887,0.2055,0.20398,191.80328,191.80443,123.84937,133.72847,33.333,41.667,27.778,36.111
600837.SH,20240816,8.68,8.72,-0.2288,242461.01,211130.06,0.2511,25.0887,0.212,0.21034,190.76087,190.73236,124.26778,134.16755,25.0,33.333,27.778,36.111
600837.SH,20240815,8.43,8.74,3.3097,444943.0,387365.62,0.4609,25.0887,0.21,0.20827,192.85714,192.77521,134.78261,145.56741,33.333,41.667,29.167,37.5
600837.SH,20240814,8.58,8.46,-1.1682,170017.0,145020.78,0.1916,25.0887,0.1985,0.19666,151.64319,151.46558,100.0,107.62246,25.0,33.333,29.167,36.111
