ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
601788.SH,20240930,19.19,19.25,10.0,1734430.03,3286927.68,4.4396,1.2819,0.4765,0.4765,129.01786,129.01786,341.43426,341.43426,66.667,66.667,52.778,52.778
601788.SH,20240927,16.85,17.5,7.4279,803506.86,1359332.52,2.0567,1.2819,0.4,0.4,173.80952,173.80952,271.09375,271.09375,58.333,58.333,50.0,50.0
601788.SH,20240926,15.49,16.29,4.3562,677754.66,1082204.04,1.7349,1.2819,0.3495,0.3495,166.77316,166.77316,203.90071,203.90071,50.0,50.0,47.222,47.222
601788.SH,20240925,15.57,15.61,1.8265,648486.06,1022601.5,1.6599,1.2819,0.3185,0.3185,144.72843,144.72843,186.54545,186.54545,50.0,50.0,45.833,45.833
601788.SH,20240924,14.86,15.33,4.7131,520759.87,786831.28,1.333,1.2819,0.2935,0.2935,130.91483,130.91483,153.97924,153.97924,50.0,50.0,43.056,43.056
601788.SH,20240923,14.6,14.64,-0.1364,109316.05,160040.47,0.2798,1.2819,0.2655,0.2655,132.87671,132.87671,136.80556,136.80556,41.667,41.667,40.278,40.278
601788.SH,20240920,14.5,14.66,1.1034,208557.25,305229.66,0.5338,1.2819,0.2795,0.2795,127.66667,127.66667,134.58904,134.58904,50.0,50.0,38.889,38.889
601788.SH,20240919,14.3,14.5,2.1127,227001.54,329570.38,0.5811,1.2819,0.2695,0.2695,117.79935,117.79935,125.75251,125.75251,41.667,41.667,36.111,36.111
601788.SH,20240918,14.13,14.2,0.4243,78921.96,111623.65,0.202,1.2819,0.2575,0.2575,109.41558,109.41558,109.74026,109.74026,41.667,41.667,36.111,36.111
601788.SH,20240913,14.18,14.14,-0.2821,74616.16,106179.66,0.191,1.2819,0.254,0.254,102.8125,102.8125,109.67742,109.67742,33.333,33.333,36.111,36.111
601788.SH,20240912,14.31,14.18,-0.8392,70365.0,100290.41,0.1801,1.2819,0.2515,0.2515,102.45399,102.45399,109.17722,109.17722,33.333,33.333,36.111,36.111
601788.SH,20240911,14.34,14.3,-0.2789,70738.0,101195.74,0.1811,1.2819,0.2585,0.2585,103.34347,103.34347,108.72274,108.72274,33.333,33.333,34.722,34.722
601788.SH,20240910,14.47,14.34,-0.6925,114540.63,163758.94,0.2932,1.2819,0.259,0.259,99.12281,99.12281,113.7931,113.7931,33.333,33.333,33.333,33.333
601788.SH,20240909,14.4,14.44,-0.6878,124773.7,180453.69,0.3194,1.2819,0.255,0.255,112.77259,112.77259,123.52941,123.52941,41.667,41.667,30.556,30.556
601788.SH,20240906,14.88,14.54,0.0688,244648.46,360020.67,0.6262,1.2819,0.2535,0.2535,101.75439,101.75439,121.47436,121.47436,41.667,41.667,27.778,27.778
601788.SH,20240905,14.44,14.53,0.6233,71787.8,104118.44,0.1838,1.2819,0.245,0.245,118.24104,118.24104,108.38509,108.38509,33.333,33.333,23.611,23.611
601788.SH,20240904,14.46,14.44,-0.4138,89794.32,130203.9,0.2298,1.2819,0.254,0.254,144.83871,144.83871,136.02484,136.02484,25.0,25.0,22.222,22.222
601788.SH,20240903,14.51,14.5,0.2073,117986.29,170929.41,0.302,1.2819,0.2575,0.2575,140.82278,140.82278,135.18519,135.18519,25.0,25.0,23.611,23.611
601788.SH,20240902,14.51,14.47,-1.4976,127196.08,184895.66,0.3256,1.2819,0.2605,0.2605,139.04762,139.04762,127.79456,127.79456,16.667,16.667,25.0,25.0
601788.SH,20240830,14.35,14.69,2.5838,228511.42,335904.63,0.5849,1.2819,0.2675,0.2675,146.17834,146.17834,147.75641,147.75641,25.0,25.0,27.778,27.778
601788.SH,20240829,14.33,14.32,-0.0698,101287.0,145731.71,0.2593,1.2819,0.2575,0.2575,139.67742,139.67742,120.94395,138.94415,16.667,16.667,27.778,27.778
601788.SH,20240828,14.35,14.33,-0.1394,65087.04,93158.9,0.1666,1.2819,0.258,0.258,135.87302,135.89737,116.47399,133.7348,25.0,25.0,30.556,30.556
601788.SH,20240827,14.49,14.35,-0.9662,79782.08,114299.5,0.2042,1.2819,0.299,0.299,128.78788,129.00922,108.17439,123.92023,33.333,33.333,31.944,31.944
601788.SH,20240826,14.49,14.49,-0.069,75617.84,109460.28,0.1936,1.2819,0.2985,0.2985,130.33033,130.69169,118.59155,135.78088,33.333,33.333,31.944,31.944
601788.SH,20240823,14.34,14.5,1.3986,114418.8,165235.35,0.2929,1.2819,0.2975,0.2975,136.74699,137.03605,125.21246,143.00773,33.333,33.333,31.944,31.944
601788.SH,20240822,14.58,14.3,-1.7182,166011.01,239176.06,0.4249,1.2819,0.305,0.305,126.57143,126.8923,112.16931,127.71831,25.0,25.0,33.333,33.333
601788.SH,20240821,14.6,14.55,-0.3425,89875.34,131421.5,0.2301,1.2819,0.297,0.294,138.00623,138.39824,119.60227,137.06951,33.333,33.333,36.111,36.111
601788.SH,20240820,14.83,14.6,-1.6173,131304.29,192546.1,0.3361,1.2819,0.2995,0.29629,139.0625,139.41081,120.51282,138.06806,33.333,33.333,37.5,37.5
601788.SH,20240819,14.81,14.84,-0.1346,88119.11,130998.94,0.2256,1.2819,0.303,0.29945,150.66667,151.10185,126.4881,145.56621,33.333,33.333,38.889,38.889
601788.SH,20240816,14.85,14.86,-0.3353,105995.11,157378.23,0.2713,1.2819,0.3125,0.30862,148.85246,149.23845,129.25373,148.62357,33.333,33.333,38.889,40.278
601788.SH,20240815,14.75,14.91,0.9479,158078.11,235606.62,0.4046,1.2819,0.324,0.31975,143.63057,144.09507,141.74455,163.19752,41.667,41.667,38.889,41.667
601788.SH,20240814,14.87,14.77,-0.8059,105494.51,156385.12,0.27,1.2819,0.3255,0.32092,146.6877,146.98333,141.76829,162.62875,41.667,41.667,37.5,41.667
601788.SH,20240813,14.76,14.89,1.0176,110275.73,162836.66,0.2823,1.2819,0.3235,0.31876,153.25077,153.54953,153.51682,175.54608,41.667,41.667,37.5,43.056
601788.SH,20240812,14.67,14.74,0.4087,103859.0,152789.34,0.2658,1.2819,0.319,0.31409,135.83333,136.27675,128.23219,145.23983,41.667,41.667,37.5,44.444
601788.SH,20240809,14.88,14.68,-0.7437,106533.42,157601.35,0.2727,1.2819,0.315,0.30994,131.70732,132.14939,124.48454,140.80249,33.333,41.667,38.889,47.222
601788.SH,20240808,14.81,14.79,-0.135,144165.0,214051.34,0.369,1.2819,0.313,0.30773,134.23913,134.77513,124.55243,140.74382,33.333,41.667,43.056,51.389
601788.SH,20240807,14.85,14.81,-0.3365,107569.75,159315.8,0.2753,1.2819,0.309,0.3035,127.12766,127.65464,119.69697,135.29406,33.333,41.667,48.611,56.944
601788.SH,20240806,14.94,14.86,0.4733,145601.6,215402.03,0.3727,1.2819,0.32,0.31404,131.16531,131.73721,122.25064,138.3205,41.667,50.0,52.778,61.111
601788.SH,20240805,14.89,14.79,-1.004,200059.43,298761.37,0.5121,1.2819,0.3325,0.32599,145.27221,145.97239,117.45636,132.72226,41.667,50.0,55.556,63.889
601788.SH,20240802,15.17,14.94,-1.4512,186674.01,280943.75,0.4778,1.2819,0.3455,0.33838,107.09534,107.70347,94.27403,105.30714,50.0,58.333,59.722,68.056
601788.SH,20240801,15.08,15.16,-0.1318,300268.98,456422.7,0.7686,1.2819,0.3435,0.3361,112.73148,113.45396,96.01677,107.53021,58.333,66.667,62.5,70.833
601788.SH,20240731,14.47,15.18,5.1247,515429.9,776261.37,1.3193,1.2819,0.3485,0.34078,110.25057,110.87111,98.10127,109.76258,66.667,75.0,65.278,72.222
601788.SH,20240730,14.34,14.44,0.6974,113763.34,163588.89,0.2912,1.2819,0.309,0.30106,80.95238,81.16621,71.48362,80.2424,58.333,66.667,66.667,72.222
601788.SH,20240729,14.46,14.34,-1.1034,105619.13,152067.5,0.2704,1.2819,0.311,0.30281,79.0224,79.22254,68.54991,76.92725,58.333,66.667,69.444,73.611
601788.SH,20240726,14.26,14.5,1.683,163232.11,235827.97,0.4178,1.2819,0.3195,0.31098,80.7377,80.96427,74.36893,83.4086,66.667,75.0,70.833,73.611
601788.SH,20240725,14.16,14.26,0.7062,144337.28,206014.77,0.3695,1.2819,0.356,0.34637,72.31076,72.39424,65.91337,74.05775,66.667,75.0,69.444,70.833
601788.SH,20240724,14.20854,14.15951,-0.4824,146345.85,212128.97,0.3746,1.257,0.3505,0.34369,66.85934,66.85893,68.1382,68.13877,75.0,75.0,66.667,66.667
