ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
000983.SZ,20240930,9.23,9.56,8.39,960623.94,901604.78,2.0702,11.5043,0.292,0.292,181.05727,181.05727,196.98276,196.98276,58.333,58.333,47.222,47.222
000983.SZ,20240927,8.47,8.82,5.0,746144.02,651735.48,1.608,11.5043,0.2635,0.2635,163.04348,163.04348,148.4252,148.4252,58.333,58.333,41.667,41.667
000983.SZ,20240926,8.0,8.4,5.0,566619.36,463801.52,1.2211,11.5043,0.246,0.246,124.24242,124.24242,112.15278,112.15278,50.0,50.0,36.111,36.111
000983.SZ,20240925,8.22,8.0,-1.1125,532135.85,431163.36,1.1468,11.5043,0.2295,0.2295,116.15385,116.15385,103.14685,103.14685,41.667,41.667,31.944,31.944
000983.SZ,20240924,7.69,8.09,5.8901,419768.98,332069.52,0.9046,11.5043,0.222,0.222,127.61506,127.61506,102.51799,102.51799,41.667,41.667,29.167,29.167
000983.SZ,20240923,7.48,7.64,1.731,213019.41,161685.87,0.4591,11.5043,0.209,0.209,123.33333,123.33333,96.08541,96.08541,33.333,33.333,27.778,27.778
000983.SZ,20240920,7.5,7.51,0.0,217477.36,162654.47,0.4687,11.5043,0.205,0.205,112.04819,112.04819,87.97251,87.97251,25.0,25.0,27.778,27.778
000983.SZ,20240919,7.3,7.51,3.1593,353720.4,264049.25,0.7623,11.5043,0.21,0.21,107.7821,107.7821,86.19529,86.19529,25.0,25.0,30.556,30.556
000983.SZ,20240918,7.09,7.28,2.5352,263719.38,190352.27,0.5683,11.5043,0.2095,0.2095,98.83268,98.83268,76.66667,76.66667,25.0,25.0,33.333,33.333
000983.SZ,20240913,7.2,7.1,-1.2517,128199.05,91601.1,0.2763,11.5043,0.2055,0.2055,93.75,93.75,72.81879,72.81879,25.0,25.0,36.111,36.111
000983.SZ,20240912,7.18,7.19,0.0,182208.1,131788.89,0.3927,11.5043,0.2045,0.2045,94.11765,94.11765,73.64865,73.64865,33.333,33.333,38.889,38.889
000983.SZ,20240911,7.2,7.19,-1.2363,176756.3,126321.02,0.3809,11.5043,0.215,0.215,91.89189,91.89189,70.86093,70.86093,33.333,33.333,40.278,40.278
000983.SZ,20240910,7.25,7.28,0.4138,241799.02,176189.1,0.5211,11.5043,0.213,0.213,98.40637,98.40637,80.28169,80.28169,41.667,41.667,43.056,43.056
000983.SZ,20240909,7.4,7.25,-2.5538,264146.33,191593.63,0.5693,11.5043,0.2125,0.2125,99.59514,99.59514,77.27273,77.27273,41.667,41.667,44.444,44.444
