ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
000708.SZ,20240930,13.02,13.64,9.3825,397066.61,526935.52,0.7867,4.152,0.4455,0.4455,113.1291,113.1291,190.54441,190.54441,58.333,58.333,43.056,43.056
000708.SZ,20240927,12.2,12.47,4.4389,318694.81,389868.47,0.6314,4.152,0.3895,0.3895,102.7027,102.7027,150.27473,150.27473,50.0,50.0,37.5,37.5
000708.SZ,20240926,11.24,11.94,6.3224,240271.27,278753.33,0.4761,4.152,0.3665,0.3665,92.47788,92.47788,123.03797,123.03797,41.667,41.667,33.333,33.333
000708.SZ,20240925,11.98,11.23,-1.7498,316122.59,366104.06,0.6263,4.152,0.335,0.335,85.74661,85.74661,115.54404,115.54404,33.333,33.333,30.556,30.556
000708.SZ,20240924,10.7,11.43,7.5259,224220.8,251491.85,0.4443,4.152,0.3,0.3,95.14066,95.14066,100.51813,100.51813,41.667,41.667,27.778,27.778
000708.SZ,20240923,10.48,10.63,1.2381,86141.58,91387.29,0.1707,4.152,0.274,0.274,81.88776,81.88776,82.90816,82.90816,33.333,33.333,25.0,25.0
000708.SZ,20240920,10.63,10.5,-1.5009,77746.34,81486.88,0.154,4.152,0.2695,0.2695,69.28406,69.28406,71.79487,71.79487,25.0,25.0,23.611,23.611
000708.SZ,20240919,10.65,10.66,1.0427,83712.59,89308.17,0.1659,4.152,0.2675,0.2675,68.08989,68.08989,72.41379,72.41379,25.0,25.0,23.611,23.611
000708.SZ,20240918,10.34,10.55,2.0309,100181.6,104907.85,0.1985,4.152,0.2675,0.2675,63.75839,63.75839,66.06335,66.06335,25.0,25.0,25.0,25.0
000708.SZ,20240913,10.4,10.34,-0.5769,160327.39,167697.77,0.3177,4.152,0.2685,0.2685,58.71965,58.71965,62.38739,62.38739,16.667,16.667,26.389,26.389
000708.SZ,20240912,10.68,10.4,-2.439,139258.07,145928.6,0.2759,4.152,0.269,0.269,53.0303,53.0303,55.14223,55.14223,25.0,25.0,29.167,29.167
000708.SZ,20240911,10.81,10.66,-0.8372,129089.74,138153.38,0.2558,4.152,0.266,0.266,63.49206,63.49206,65.44622,65.44622,25.0,25.0,29.167,29.167
000708.SZ,20240910,10.89,10.75,-1.0129,76050.8,81916.8,0.1507,4.152,0.28,0.28,66.2037,66.2037,69.01408,69.01408,25.0,25.0,30.556,30.556
000708.SZ,20240909,11.17,10.86,-2.6882,96032.64,104649.78,0.1903,4.152,0.285,0.285,72.00957,72.00957,71.25891,71.25891,33.333,33.333,31.944,31.944
000708.SZ,20240906,11.22,11.16,-0.8881,37598.37,42198.64,0.0745,4.152,0.273,0.273,80.25641,80.25641,75.37313,75.37313,33.333,33.333,33.333,33.333
000708.SZ,20240905,11.18,11.26,0.8961,48671.7,54469.37,0.0964,4.152,0.2725,0.2725,80.40712,80.40712,76.4268,76.4268,33.333,33.333,33.333,33.333
000708.SZ,20240904,11.2,11.16,-1.1515,75560.83,84400.55,0.1497,4.152,0.276,0.276,81.40704,81.40704,78.32512,78.32512,25.0,25.0,33.333,33.333
000708.SZ,20240903,11.38,11.29,-0.5286,57119.97,64728.67,0.1132,4.152,0.288,0.288,80.60453,80.60453,79.75,79.75,33.333,33.333,33.333,33.333
000708.SZ,20240902,11.47,11.35,-1.5611,88130.13,100638.89,0.1746,4.152,0.285,0.285,79.59698,79.59698,77.8607,77.8607,33.333,33.333,31.944,31.944
000708.SZ,20240830,11.35,11.53,1.4072,110531.17,127025.74,0.219,4.152,0.282,0.282,87.33509,87.33509,88.35979,88.35979,41.667,41.667,30.556,30.556
