ts_code,trade_date,open_qfq,close_qfq,pct_chg,vol,amount,turnover_rate,adj_factor,atr_bfq,atr_qfq,brar_ar_bfq,brar_ar_qfq,brar_br_bfq,brar_br_qfq,psy_bfq,psy_qfq,psyma_bfq,psyma_qfq
688187.SH,20240930,47.9,53.07,12.5079,129666.49,664100.77,4.6422,1.0407,2.251,2.251,77.11012,77.11012,81.88105,81.88105,58.333,58.333,43.056,43.056
688187.SH,20240927,46.19,47.17,3.0363,54675.25,253291.48,1.9574,1.0407,2.051,2.051,63.99558,63.99558,65.35647,65.35647,50.0,50.0,38.889,38.889
688187.SH,20240926,46.81,45.78,-2.1586,102020.06,458466.47,3.6524,1.0407,2.1005,2.1005,62.15553,62.15553,59.97905,59.97905,41.667,41.667,36.111,36.111
688187.SH,20240925,45.09,46.79,4.8163,76533.67,360081.04,2.74,1.0407,2.178,2.178,71.75353,71.75353,72.76056,72.76056,41.667,41.667,34.722,34.722
688187.SH,20240924,42.99,44.64,4.7396,61973.99,272439.87,2.2187,1.0407,2.375,2.375,64.15942,64.15942,63.88584,63.88584,33.333,33.333,34.722,34.722
688187.SH,20240923,41.47,42.62,2.6741,34123.42,145388.8,1.2217,1.0407,2.3075,2.3075,57.40132,57.40132,56.06706,56.06706,33.333,33.333,36.111,36.111
688187.SH,20240920,42.72,41.51,-3.2175,42817.59,178664.9,1.5329,1.0407,2.3435,2.3435,51.93798,51.93798,50.94879,50.94879,33.333,33.333,36.111,36.111
688187.SH,20240919,43.39,42.89,-0.8324,53606.71,228398.16,1.9192,1.0407,2.3275,2.3275,54.84138,54.84138,54.44265,54.44265,33.333,33.333,34.722,34.722
688187.SH,20240918,44.6,43.25,-1.7715,30942.16,135259.87,1.1078,1.0407,2.355,2.355,59.23868,59.23868,58.0027,58.0027,33.333,33.333,34.722,34.722
688187.SH,20240913,45.07,44.03,-1.9376,36328.96,160968.88,1.3006,1.0407,2.4215,2.4215,64.69565,64.69565,60.71429,60.71429,41.667,41.667,36.111,36.111
